attendance_record_id ,employee_id ,attendance_date ,clock_in_time ,total_hours_labor(clock_out_time - clock_in_time)
1,1,12/12/2022,7:40 PM,71.1
2,2,12/18/2022,3:57 AM,17.6
3,3,9/25/2023,3:49 PM,6.0
4,4,3/28/2023,9:09 PM,31.4
5,5,8/12/2023,2:48 AM,73.2
6,6,8/30/2023,3:40 AM,11.9
7,7,3/14/2023,3:13 PM,97.9
8,8,6/10/2023,3:28 PM,29.9
9,9,10/13/2023,8:28 PM,66.4
10,10,7/26/2023,5:51 PM,82.6
11,11,5/14/2023,6:32 AM,1.7
12,12,3/28/2023,4:46 AM,12.8
13,13,11/18/2023,3:02 AM,30.9
14,14,10/31/2023,1:47 PM,15.6
15,15,11/8/2023,4:45 PM,11.7
16,16,5/3/2023,1:30 AM,77.3
17,17,7/1/2023,8:36 PM,22.5
18,18,3/1/2023,12:16 PM,60.4
19,19,5/17/2023,10:31 AM,77.5
20,20,5/3/2023,5:48 PM,31.6
21,21,5/23/2023,8:16 PM,90.3
22,22,1/5/2023,4:27 AM,21.4
23,23,12/4/2022,10:04 AM,39.1
24,24,2/5/2023,1:04 PM,47.4
25,25,8/3/2023,10:43 PM,93.0
26,26,1/10/2023,10:20 AM,23.8
27,27,9/14/2023,8:30 AM,49.9
28,28,11/10/2023,4:45 AM,53.1
29,29,10/19/2023,1:54 PM,93.2
30,30,11/11/2023,1:53 PM,77.9
31,31,11/7/2023,12:25 AM,25.1
32,32,6/12/2023,7:33 PM,78.9
33,33,12/9/2022,2:35 PM,36.2
34,34,8/26/2023,11:09 PM,92.5
35,35,8/22/2023,11:16 AM,49.3
36,36,8/10/2023,10:08 PM,21.1
37,37,6/14/2023,5:21 AM,71.7
38,38,12/12/2022,5:05 AM,51.3
39,39,3/27/2023,8:00 AM,69.6
40,40,2/23/2023,6:28 PM,50.3
41,41,12/21/2022,3:45 PM,35.9
42,42,7/29/2023,4:45 AM,36.8
43,43,1/29/2023,1:01 PM,97.7
44,44,6/3/2023,1:56 AM,8.0
45,45,12/22/2022,9:28 AM,20.1
46,46,9/20/2023,9:11 AM,53.9
47,47,5/4/2023,1:50 PM,53.3
48,48,4/23/2023,3:00 AM,16.6
49,49,1/28/2023,2:32 PM,26.1
50,50,1/20/2023,3:02 AM,89.5
51,51,10/29/2023,10:31 AM,96.0
52,52,8/29/2023,2:56 AM,93.8
53,53,1/8/2023,5:02 PM,84.8
54,54,4/15/2023,5:38 AM,92.8
55,55,1/26/2023,12:04 PM,54.0
56,56,9/6/2023,11:39 PM,41.6
57,57,2/2/2023,10:07 AM,89.6
58,58,11/18/2023,5:00 PM,71.7
59,59,6/8/2023,10:57 PM,20.2
60,60,6/8/2023,5:49 PM,40.0
61,61,7/9/2023,2:27 AM,96.7
62,62,9/25/2023,10:32 AM,73.2
63,63,10/8/2023,5:48 AM,76.5
64,64,4/16/2023,6:42 AM,50.8
65,65,2/25/2023,7:11 AM,99.9
66,66,7/22/2023,1:50 AM,21.0
67,67,4/28/2023,4:54 AM,73.9
68,68,5/23/2023,9:37 PM,8.1
69,69,9/8/2023,3:39 AM,25.2
70,70,11/30/2022,10:33 AM,8.4
71,71,9/21/2023,8:01 AM,5.3
72,72,10/4/2023,1:01 PM,59.2
73,73,5/20/2023,4:28 PM,5.2
