course_category_name ,course_category_explain 
Geologist III,Other lymphedema
Occupational Therapist,Acc d/t weightless envir
Clinical Specialist,Poor fetal grth-antepart
Safety Technician III,Cystitis NEC
Nuclear Power Engineer,Sprain of pelvis
Editor,Cheyne-stokes respiratn
Desktop Support Technician,Leg ab w compl NEC-comp
Senior Developer,Thrombophlebitis migrans
Technical Writer,Artic cartil dis-forearm
Quality Engineer,Hx-health hazard NOS
Developer III,Cutan leishmanias asian
Accounting Assistant IV,Opn wnd lary w trac-comp
Help Desk Operator,Colon injury NOS-closed
Marketing Manager,Cong fold/cyst post eye
Recruiter,Mal neo ant 2/3 tongue
Mechanical Systems Engineer,Suppurativ labyrinthitis
Dental Hygienist,Legal abor w hemorr-unsp
Food Chemist,Central pterygium
Sales Associate,Bipol I manic-sev w psy
Food Chemist,Sezary's disease pelvic
VP Sales,Nervousness
Human Resources Assistant II,Leg ab w compl NEC-inc
Analog Circuit Design manager,Resp cond dt smoke inhal
Health Coach III,Gc salpingitis (chronic)
Information Systems Manager,Severe birth asphyxia
Accountant III,Chondrocalcin NOS-hand
Research Nurse,General medical exam NEC
Developer II,Compartment syndrome NOS
Office Assistant III,Amebic brain abscess
Geologist IV,Opn subdur hem-prol coma
Biostatistician II,Horseback riding
Geological Engineer,Opn wnd scrot/test-compl
Technical Writer,Spastic entropion
Statistician IV,Cl skull fx NEC-concuss
Structural Analysis Engineer,Adv eff blood agent NEC
Senior Quality Engineer,Idiopathic cysts
Nurse,RR acc NEC-ped cyclist
Graphic Designer,Cluster headache syn NOS
Media Manager II,Rapid childhood growth
Editor,Fx low end femur NOS-opn
Nurse,Senile reticular degen
Assistant Media Planner,Cntct/exp aromatc amines
GIS Technical Architect,"Aortic ectasia, site NOS"
Operator,Screen mal neop-oral cav
Environmental Tech,Excess attrition-local
Structural Engineer,Mal neo tonsil pillars
Paralegal,Basal cell ca skin trunk
Human Resources Assistant I,Ventltr assoc pneumonia
VP Product Management,Fetal-maternal hem-deliv
Director of Sales,Contraceptive mangmt NEC
Web Developer I,Poison-sedat/hypnotic
Business Systems Development Analyst,Screen for gu cond NEC
Marketing Manager,Fitting artificial leg
Research Associate,Insect bite shld/arm-inf
Media Manager II,Fx facial bone NEC-open
Structural Engineer,TB skin/subcut-histo dx
Assistant Professor,"Amputat leg, bilat-compl"
Sales Associate,Adv eff cephalosporin
Information Systems Manager,Open wound of hand
Safety Technician I,Open wound of head NEC
Environmental Specialist,Wtrcraft fall NEC-pasngr
Account Executive,Acc poison-acids
Staff Accountant II,Unpow aircrf acc-gr crew
Senior Sales Associate,Orbital cellulitis
Speech Pathologist,Effect reduced temp NEC
Payment Adjustment Coordinator,Ret dystrph in lipidoses
Senior Quality Engineer,Burn cornea/conjunct NEC
Cost Accountant,Circadian rhythm-jetlag
Staff Scientist,Maj puerp inf NOS-unsp
Programmer Analyst I,Adv eff psychotropic NOS
Marketing Assistant,Fx shaft forearm NOS-cl
General Manager,Thrd-stage hem-del w p/p
Registered Nurse,Status amput thumb
Executive Secretary,Syphilitic peritonitis
GIS Technical Architect,Partial edentulism NOS
Business Systems Development Analyst,Hx-blood diseases
Staff Accountant II,NB intraven hem NOS
Paralegal,Mat surg dur preg aff NB
VP Product Management,TB skin/subcut-exam unkn
Librarian,Thrombophleb preg-unspec
Compensation Analyst,Cervical root injury
Developer I,Fx legs w arm/rib-open
Staff Accountant III,Phlbts sprfc vn up extrm
Chief Design Engineer,Opn skl fx NEC-prol coma
Sales Associate,Cutan leishmanias asian
Associate Professor,Recp-expres language dis
Information Systems Manager,Malposition NOS-deliver
Health Coach IV,Late effect assault
Executive Secretary,Cl skl w oth fx w/o coma
Associate Professor,Suppur otitis media NOS
Librarian,Viral arthritis-shlder
Marketing Manager,Meth res pneu d/t Staph
Senior Sales Associate,Brain inj NEC-proln coma
Editor,Hit by train-person NEC
Budget/Accounting Analyst II,Mult anom anter seg-eye
Desktop Support Technician,Chr osteomyelit-pelvis
VP Accounting,TB of bladder-exam unkn
Executive Secretary,Devel odontogenic cysts
Physical Therapy Assistant,Family disruption NEC
Assistant Manager,Pasteurellosis
Project Manager,TB lung infiltr-unspec
Dental Hygienist,Fum/vapor resp cond NOS
Quality Control Specialist,Cytomegaloviral disease
Marketing Manager,1st deg burn thumb
Administrative Assistant III,Int thrombos hemorrhoid
Environmental Specialist,Cutaneous schistosoma
Food Chemist,Hpt B acte coma wo dlta
Quality Control Specialist,Scrn-ischemic heart dis
Civil Engineer,Fall-occup oth aircraft
Occupational Therapist,Amniotic infection-unsp
Research Associate,Chr fibrous thyroiditis
Administrative Assistant II,Folate-deficiency anemia
Social Worker,Sbac lym leu wo ach rmsn
Environmental Specialist,Yaws NOS
Research Associate,Intrathorac inj NEC-open
Environmental Tech,Failure to thrive-adult
Information Systems Manager,Metatarsus varus
Structural Analysis Engineer,Anal cytolgy smr unsatis
Recruiter,B12 defic anemia NEC
Account Coordinator,Borderline leprosy
Automation Specialist IV,Abn plac NEC/NOS aff NB
Pharmacist,Congen CV dis-postpartum
Computer Systems Analyst III,Malaria-antepartum
Tax Accountant,Hx-hodgkin's disease
Staff Accountant I,Identity disorder
Account Representative III,Elephantiasis of eyelid
Statistician IV,Joint effusion-l/leg
Speech Pathologist,Screen-bronch/emphysema
Human Resources Manager,"Hx-cong malform-eye,face"
Teacher,Histoplasm caps pericard
Analyst Programmer,DMI oth coma uncontrold
VP Marketing,Alveolar mandb hypoplsia
Safety Technician II,Abdmnal pain rt lwr quad
Software Test Engineer III,Prim TB complex-histo dx
Staff Scientist,Oth specfied retrovirus
Cost Accountant,Upper extremity embolism
Junior Executive,Disease of pharynx NEC
Staff Accountant I,Lt eff intracranial inj
Recruiting Manager,Bronchiectasis w ac exac
Database Administrator III,Mult gest-plac/sac undet
Civil Engineer,1 deg burn back of hand
General Manager,Watercraft fall NEC-crew
