duty_id ,duration ,duty_date 
1,18,10/24/2023
2,55,6/23/2023
3,16,7/5/2023
4,69,12/3/2022
5,24,11/10/2023
6,34,7/22/2023
7,86,9/3/2023
8,63,5/19/2023
9,85,6/8/2023
10,51,5/3/2023
11,40,2/25/2023
12,40,1/30/2023
13,6,2/21/2023
14,92,4/6/2023
15,35,12/27/2022
16,45,4/20/2023
17,81,3/12/2023
18,73,2/4/2023
19,14,5/27/2023
20,26,4/19/2023
21,26,2/8/2023
22,47,7/10/2023
23,4,5/14/2023
24,88,7/29/2023
25,95,11/3/2023
26,19,6/3/2023
27,70,3/20/2023
28,63,6/5/2023
29,85,3/24/2023
30,39,9/4/2023
31,63,3/1/2023
32,55,9/15/2023
33,51,8/9/2023
34,31,11/17/2023
35,32,7/19/2023
36,86,3/3/2023
37,29,7/1/2023
38,2,7/1/2023
39,18,1/14/2023
40,30,8/9/2023
41,85,1/17/2023
42,62,10/3/2023
43,61,7/12/2023
44,7,5/31/2023
45,56,12/3/2022
46,57,7/11/2023
47,2,9/28/2023
48,5,7/18/2023
49,78,8/19/2023
50,11,6/23/2023
51,91,1/27/2023
52,20,10/4/2023
53,76,1/4/2023
54,98,9/1/2023
55,95,6/19/2023
56,5,1/6/2023
57,22,10/27/2023
58,50,5/9/2023
59,58,3/29/2023
60,74,11/12/2023
61,69,3/25/2023
62,5,11/21/2023
63,46,10/19/2023
64,12,3/27/2023
65,4,12/22/2022
66,22,3/5/2023
67,54,7/28/2023
68,34,4/30/2023
69,43,9/23/2023
70,37,5/26/2023
71,45,2/23/2023
72,68,8/26/2023
73,81,2/22/2023
74,2,6/18/2023
75,20,4/3/2023
76,4,12/31/2022
77,16,11/12/2023
78,30,8/23/2023
79,9,8/19/2023
80,67,9/1/2023
81,61,8/21/2023
82,63,12/13/2022
83,17,12/29/2022
84,78,3/14/2023
85,17,11/20/2023
86,26,12/30/2022
87,16,2/13/2023
88,19,10/13/2023
89,97,3/26/2023
90,100,3/1/2023
91,28,10/31/2023
92,97,9/9/2023
93,98,11/21/2023
94,78,4/7/2023
95,60,4/9/2023
96,75,4/21/2023
97,81,4/21/2023
98,51,1/22/2023
99,3,2/18/2023
100,52,9/14/2023
101,55,2/11/2023
102,82,5/11/2023
103,39,12/28/2022
104,24,5/29/2023
105,24,12/23/2022
106,4,3/21/2023
107,45,4/3/2023
108,31,10/26/2023
109,50,3/18/2023
110,14,2/9/2023
111,71,1/11/2023
112,45,8/8/2023
113,67,8/4/2023
114,89,4/27/2023
115,63,8/7/2023
116,98,12/31/2022
117,81,10/3/2023
118,57,10/9/2023
119,38,9/18/2023
120,5,9/8/2023
121,58,11/29/2022
122,7,1/10/2023
123,16,4/18/2023
124,73,5/19/2023
125,36,5/19/2023
126,28,8/21/2023
127,6,11/15/2023
128,40,1/18/2023
129,69,10/7/2023
130,67,9/30/2023
131,26,4/21/2023
132,47,8/12/2023
133,41,4/24/2023
134,17,10/27/2023
135,53,11/29/2022
136,91,8/19/2023
137,94,3/2/2023
138,49,10/14/2023
139,72,11/30/2022
140,97,9/14/2023
141,64,11/5/2023
142,96,10/25/2023
143,87,7/8/2023
144,3,9/5/2023
145,48,3/6/2023
146,1,4/3/2023
147,15,7/14/2023
148,53,8/16/2023
149,10,8/13/2023
150,12,10/30/2023
151,42,8/2/2023
152,31,12/28/2022
153,41,11/29/2022
154,100,6/7/2023
155,84,1/26/2023
156,93,10/3/2023
157,59,9/3/2023
158,85,10/14/2023
159,6,12/24/2022
160,73,8/20/2023
161,58,12/15/2022
162,25,1/17/2023
163,41,6/25/2023
164,60,1/12/2023
165,91,8/11/2023
166,98,11/29/2022
167,63,5/19/2023
168,69,6/14/2023
169,67,6/17/2023
170,80,8/17/2023
171,73,3/30/2023
172,54,2/12/2023
173,4,7/24/2023
174,92,3/23/2023
175,90,12/18/2022
176,47,12/21/2022
177,90,10/20/2023
178,50,7/31/2023
