duty_id,employee_id,job_position_id,duration,duty_date
1,54,45,11:05 PM,8/25/2023
2,12,8,5:57 AM,11/20/2023
3,46,82,9:22 PM,4/19/2023
4,92,53,9:44 AM,5/13/2023
5,25,90,5:42 AM,6/2/2023
6,100,28,4:00 PM,5/12/2023
7,97,79,11:34 PM,11/17/2023
8,28,27,8:20 AM,6/21/2023
9,13,71,3:54 PM,4/10/2023
10,15,78,4:08 AM,2/21/2023
11,76,7,4:26 PM,10/12/2023
12,57,90,9:12 PM,8/26/2023
13,46,36,4:37 PM,8/19/2023
14,92,72,3:24 PM,2/18/2023
15,55,49,1:32 PM,12/11/2023
16,3,98,11:07 AM,3/14/2023
17,100,57,5:34 AM,6/24/2023
18,91,63,8:39 AM,4/8/2023
19,48,75,8:37 AM,5/21/2023
20,95,100,4:05 AM,1/16/2023
21,9,36,1:09 PM,4/17/2023
22,53,11,4:36 PM,9/13/2023
23,76,92,11:01 AM,5/30/2023
24,79,98,12:02 PM,6/15/2023
25,66,32,5:13 AM,4/27/2023
26,71,47,4:32 AM,8/7/2023
27,94,9,5:00 PM,8/17/2023
28,66,18,10:50 PM,10/11/2023
29,50,58,1:55 AM,12/16/2023
30,78,12,9:47 AM,7/3/2023
31,70,29,4:56 AM,11/18/2023
32,29,57,7:28 AM,4/17/2023
33,13,97,1:35 PM,7/1/2023
34,36,1,8:36 AM,10/30/2023
35,59,95,10:12 AM,7/9/2023
36,95,43,5:56 AM,10/20/2023
37,21,56,7:21 AM,10/22/2023
38,40,79,3:41 PM,2/4/2023
39,93,49,6:44 PM,8/9/2023
40,64,36,5:14 PM,3/1/2023
41,71,76,6:57 AM,8/16/2023
42,51,34,7:44 PM,3/5/2023
43,70,94,12:23 AM,8/9/2023
44,57,81,11:10 AM,5/23/2023
45,65,46,9:16 PM,9/10/2023
46,19,39,5:08 PM,8/2/2023
47,43,73,2:26 AM,8/21/2023
48,41,88,8:40 PM,5/11/2023
49,32,57,7:42 PM,7/15/2023
50,8,83,7:25 PM,11/30/2023
51,50,31,5:12 PM,12/19/2023
52,65,94,7:14 PM,3/29/2023
53,79,77,2:31 AM,3/29/2023
54,84,89,6:39 PM,3/7/2023
55,76,33,6:48 AM,10/31/2023
56,4,70,11:02 AM,6/25/2023
57,39,19,7:05 PM,10/22/2023
58,17,12,6:10 PM,6/18/2023
59,46,99,9:18 AM,7/14/2023
60,29,51,6:45 AM,6/12/2023
61,82,63,5:16 AM,8/19/2023
62,33,31,9:48 PM,12/25/2023
63,14,69,11:12 AM,3/24/2023
64,4,82,12:19 PM,1/17/2023
65,72,47,12:51 PM,2/4/2023
66,17,80,1:06 AM,5/30/2023
67,57,12,4:52 PM,4/4/2023
68,53,17,7:39 AM,2/13/2023
69,50,89,3:49 AM,11/30/2023
70,62,42,3:51 AM,12/10/2023
71,95,57,12:23 AM,7/28/2023
72,32,22,2:30 AM,12/13/2023
73,90,48,11:53 AM,11/10/2023
74,22,33,1:11 AM,10/25/2023
75,92,43,3:57 PM,8/11/2023
76,1,59,5:10 AM,3/7/2023
77,52,35,12:55 PM,5/27/2023
78,40,88,10:55 PM,2/25/2023
79,55,29,1:26 PM,4/9/2023
80,89,76,9:18 PM,4/21/2023
81,74,43,1:55 AM,1/18/2023
82,17,10,3:05 PM,8/29/2023
83,67,89,3:50 PM,1/25/2023
84,70,11,8:02 PM,6/30/2023
85,84,23,5:55 PM,9/11/2023
86,59,91,12:38 PM,12/13/2023
87,87,22,11:57 PM,1/9/2023
88,55,20,4:53 AM,3/15/2023
89,35,80,8:49 AM,5/27/2023
90,73,17,4:59 PM,7/8/2023
91,5,47,6:01 PM,5/31/2023
92,32,10,1:58 PM,1/4/2023
93,41,13,9:50 PM,4/17/2023
94,9,20,2:00 AM,5/12/2023
95,52,14,9:51 PM,7/19/2023
96,38,54,9:43 AM,1/24/2023
97,58,78,2:14 PM,12/24/2023
98,11,60,10:34 PM,12/30/2023
99,39,33,1:49 AM,12/6/2023
100,52,69,5:17 AM,3/6/2023
