earning_id,job_position_id,earning_amount,leave_id,remained_earning
1,9,3696.79,1,46.5
2,92,2567.05,2,58.7
3,41,2293.54,3,29.1
4,37,1396.72,4,31.8
5,100,3443.11,5,64.9
6,14,1844.5,6,87.7
7,8,4225.02,7,17.4
8,94,4780.45,8,60.9
9,75,4676.31,9,66
10,14,3759.83,10,70.7
11,77,2113.21,11,64
12,42,2877.27,12,58.3
13,42,2772.09,13,22.1
14,70,3450.17,14,88.5
15,86,1812.51,15,47
16,99,2576.87,16,28.3
17,9,2723.89,17,38.7
18,91,1463.7,18,63.9
19,80,3153.67,19,79
20,31,3796.51,20,11
21,61,4288.59,21,56.6
22,52,4753.33,22,98.4
23,21,2583.37,23,20.1
24,96,1108.97,24,91.9
25,58,2132.78,25,14.3
26,98,3448.56,26,17.8
27,52,4049.76,27,45.4
28,53,4319.57,28,13.1
29,48,4417.33,29,95.2
30,69,2258.45,30,55.9
31,60,2928.89,31,55.8
32,100,3605.31,32,62.2
33,90,722.97,33,6.1
34,60,2582.18,34,42.7
35,95,2782.74,35,71.8
36,89,2057.11,36,36.7
37,12,1694.49,37,11.6
38,97,1188.9,38,65.7
39,55,4575.5,39,82.2
40,25,1373.85,40,54.3
41,28,1268.94,41,28.9
42,52,2917.15,42,30.7
43,33,1803.01,43,1.2
44,11,1242.74,44,11.9
45,6,3693.49,45,79.2
46,45,3462.94,46,15.6
47,42,2698.23,47,22.3
48,55,3659.21,48,64.1
49,17,1982.8,49,22.5
50,76,642.77,50,64.8
51,45,4465.24,51,86.5
52,7,3314.45,52,10.5
53,22,2752.24,53,91.5
54,32,2236.42,54,32.1
55,10,2012.61,55,9
56,98,2964.41,56,12.7
57,18,1867.16,57,33.9
58,60,3236.27,58,35.2
59,45,3379.66,59,7.7
60,43,2994.62,60,57.3
61,60,2143.09,61,82.6
62,22,4926.96,62,78.1
63,62,1121.85,63,51.9
64,60,3991.14,64,91.5
65,25,1310.06,65,8
66,40,4507.38,66,8.8
67,14,3337.84,67,75.2
68,51,4190.63,68,34.4
69,2,3041.16,69,7.8
70,94,508.86,70,50.2
71,9,2587.6,71,82.2
72,2,2555.93,72,23.6
73,13,2019.9,73,41.4
74,60,2500.87,74,52.2
75,22,3293.26,75,1.8
76,94,1299.05,76,59.1
77,34,1344.74,77,7.4
78,75,1996.97,78,56.7
79,24,1343.97,79,92.1
80,15,3982.87,80,59.1
81,80,3090.87,81,23.7
82,59,4851.64,82,97.8
83,21,1982.32,83,40.5
84,58,3711.72,84,90.7
85,82,1132.16,85,78.5
86,15,4518.81,86,74.6
87,41,3861.82,87,56
88,46,3540.85,88,56.2
89,1,3811.67,89,46.3
90,20,3526.33,90,64.9
91,48,2008.52,91,61.3
92,1,1057.68,92,94.6
93,64,4025.85,93,8.7
94,17,4910.61,94,73.7
95,94,1211.98,95,77.6
96,9,785.61,96,76.5
97,95,2749.34,97,13.8
98,73,4297.65,98,6.7
99,98,4464.67,99,41.6
100,47,3210.48,100,4.6
