employee_fixed_compensation_id ,compensation_event  ,pay_frequency ,"compensation_amount DECIMAL (p, s)"
1,Sports,Seldom,47.3
2,Home,Daily,79.1
3,Health,Never,79.2
4,Garden,Seldom,78.1
5,Toys,Seldom,10.1
6,Sports,Once,43.6
7,Sports,Once,27.2
8,Grocery,Never,15.9
9,Kids,Yearly,40.8
10,Shoes,Never,71.9
11,Computers,Once,6.2
12,Kids,Seldom,26.4
13,Outdoors,Seldom,34.9
14,Garden,Once,91.7
15,Garden,Never,59.8
16,Music,Never,99.1
17,Clothing,Monthly,71.4
18,Beauty,Yearly,80.1
19,Tools,Once,14.0
20,Beauty,Monthly,13.0
21,Garden,Weekly,44.9
22,Shoes,Seldom,99.0
23,Grocery,Often,25.2
24,Computers,Daily,90.9
25,Outdoors,Once,15.3
26,Baby,Monthly,77.9
27,Tools,Yearly,78.4
28,Tools,Weekly,1.6
29,Electronics,Often,89.3
30,Movies,Once,74.7
31,Books,Yearly,6.4
32,Grocery,Yearly,48.7
33,Kids,Weekly,65.2
34,Jewelry,Monthly,68.0
35,Sports,Daily,59.8
36,Tools,Often,58.9
37,Toys,Often,12.7
38,Books,Yearly,32.7
39,Sports,Often,5.4
40,Grocery,Yearly,35.7
41,Health,Once,65.8
42,Shoes,Daily,97.6
43,Home,Once,22.2
44,Tools,Seldom,21.8
45,Grocery,Once,99.8
46,Clothing,Weekly,96.8
47,Garden,Yearly,1.8
48,Books,Daily,64.3
49,Sports,Weekly,36.7
50,Games,Weekly,57.8
51,Health,Often,77.5
52,Garden,Daily,42.4
53,Home,Weekly,51.6
54,Electronics,Daily,29.6
55,Clothing,Weekly,81.7
56,Kids,Seldom,23.9
57,Outdoors,Seldom,78.4
58,Health,Once,36.5
59,Music,Monthly,33.0
60,Grocery,Never,84.3
61,Outdoors,Weekly,26.5
62,Tools,Often,95.3
63,Kids,Yearly,31.2
64,Books,Weekly,77.4
65,Books,Weekly,21.2
66,Tools,Never,71.3
67,Health,Once,93.3
68,Books,Yearly,6.2
69,Computers,Often,48.3
70,Toys,Never,48.4
71,Electronics,Never,85.7
72,Computers,Daily,68.1
73,Clothing,Monthly,2.6
74,Automotive,Seldom,50.3
75,Clothing,Yearly,50.3
76,Automotive,Often,24.7
77,Beauty,Once,49.3
78,Toys,Weekly,75.3
79,Kids,Often,12.6
80,Books,Monthly,33.1
81,Automotive,Never,66.4
82,Clothing,Once,31.8
83,Shoes,Often,45.8
84,Home,Weekly,17.6
85,Garden,Never,81.7
86,Automotive,Never,42.3
87,Home,Monthly,23.3
88,Sports,Monthly,55.6
89,Kids,Yearly,10.4
90,Computers,Monthly,75.6
91,Outdoors,Seldom,48.8
92,Tools,Once,76.5
93,Shoes,Seldom,50.1
94,Beauty,Daily,51.0
95,Electronics,Weekly,54.4
96,Books,Weekly,81.3
97,Electronics,Once,82.6
98,Jewelry,Once,5.2
99,Home,Never,38.0
100,Baby,Never,98.7
101,Toys,Monthly,23.3
102,Toys,Yearly,17.7
103,Tools,Yearly,9.8
104,Sports,Monthly,25.4
105,Baby,Often,74.0
106,Sports,Seldom,64.2
107,Computers,Daily,29.8
108,Grocery,Seldom,35.9
109,Industrial,Once,18.0
110,Beauty,Once,50.2
111,Shoes,Often,6.6
112,Jewelry,Daily,98.3
113,Automotive,Once,7.3
114,Baby,Daily,14.9
115,Electronics,Weekly,88.6
116,Grocery,Monthly,35.7
117,Industrial,Monthly,96.0
118,Outdoors,Never,71.0
119,Tools,Never,40.9
120,Beauty,Seldom,91.0
121,Movies,Weekly,93.6
122,Computers,Weekly,98.4
123,Jewelry,Once,73.3
124,Tools,Weekly,95.5
125,Home,Yearly,34.0
126,Automotive,Seldom,63.4
127,Home,Never,79.0
128,Tools,Monthly,48.2
129,Toys,Seldom,12.6
130,Computers,Never,74.7
131,Industrial,Seldom,12.1
132,Jewelry,Often,89.8
133,Outdoors,Daily,1.5
134,Garden,Daily,1.8
135,Outdoors,Daily,21.2
136,Beauty,Monthly,37.5
137,Industrial,Monthly,9.3
138,Movies,Daily,1.9
139,Health,Often,71.3
140,Home,Seldom,56.5
141,Electronics,Often,55.2
142,Clothing,Never,40.4
143,Baby,Once,21.5
144,Kids,Once,64.2
145,Clothing,Never,10.6
146,Tools,Yearly,2.8
147,Sports,Seldom,64.7
148,Health,Daily,76.1
149,Books,Seldom,61.5
150,Grocery,Yearly,25.0
151,Outdoors,Weekly,88.2
152,Beauty,Seldom,80.2
153,Electronics,Never,56.3
