leave_type_id int ,leave_type_name ,leave_type_rules 
1,Antiseptic Mouth Rinse,Recur unil ing hern-obst
2,KLEENEX Antibacterial Skin Cleanser,Dis histidine metabolism
3,Flecainide Acetate,Protan defect
4,COLLAGEN HD FOUNDATION,Mix dis conduct/emotion
5,Canadian Bluegrass,Latent schizophren-unsp
6,Dog Epithelium,Leprosy NEC
7,TRAMADOL HYDROCHLORIDE,Sebaceous cyst
8,Loratadine,Cerebel lacerat-mod coma
9,acarbose,Fasciolopsiasis
10,Cockroach American,3rd deg burn hand-mult
11,Gyno Complex,Preterm NEC 750-999g
12,Lysol,Cl skul/oth fx-deep coma
13,SHISEIDO FUTURE SOLUTION LX DAYTIME PROTECTIVE,Heat edema
14,Neumega,Clinic anophthalmos NOS
15,Sestamibi,Hx estrogen therapy
16,BOTANICS FACE LIFT FIRMING CREAM SUNSCREEN SPF 10,DMII neuro nt st uncntrl
17,Jentadueto,Nonsp abn find-gu organs
18,RIXUBIS,Coarctation of aorta
19,Ceramide Lift And Firm Makeup Broad Spectrum Sunscreen SPF 15 Beige,Eclampsia-unspecified
20,Cough - Asthma,Fx metatarsal-closed
21,Hydrocodone Bitartrate And Acetaminophen,Mnplg upr lmb nondmnt sd
22,Uniphyl,Meningitis NOS
23,Tetracaine,Opn cort contus-coma NOS
24,Glyburide,Blister hip & leg-infect
25,Sinus and Allergy,Trans arthropathy-ankle
26,supernatural airbrushed canvas broad spectrum spf 15 sunscreen,Toxic eff caustic alkali
27,Dilantin,Malposition NEC-deliver
28,Ofloxacin,TB of ureter-histo dx
29,Acetaminophen,Otorrhea NEC
30,pravastatin sodium,Mastodynia
31,Bisacodyl,Late effect injury NOS
32,ZOVIRAX,Periph T cell lymph head
33,Secret Outlast and Olay Smooth,Rat-bite fever NOS
34,Pantoprazole Sodium,Pois-uric acid metabol
35,Breakout Clearing All Over Toner,Flat retinoschisis
36,Doxycycline Hyclate,Other serum reaction
37,Famotidine,Auditory recruitment
38,TYLENOL Cold And Flu,Anim drawn-occ st car
39,Doxepin Hydrochloride,Pyrophos cryst-site NEC
40,Up and Up anti diarrheal,Ob trauma NEC-delivered
41,Parasites,Acute gastritis w hmrhg
42,Calcium Chloride,Crit illness neuropathy
43,Zicam,Cerebral palsy NOS
44,Antifungal Clotrimazole,Accid on street/highway
45,Perforomist,Aircrft acc NEC-pasngr
46,Metaxalone,TB urinary NEC-oth test
47,quetiapine fumarate,"BMI between 19-24,adult"
48,Naratriptan,Neurosyphilis NOS
49,FAMILY DOLLAR,Hydroceph fetus-antepart
50,health mart lice killing,Dev dislocat joint-shldr
51,Equate Liquid Foot,TB periph lymph-unspec
52,Jentadueto,Vomit compl preg-antepar
53,Atorvastatin Calcium,Testicular hypofunc NEC
54,biokera,Recur dislocat-ankle
55,Kaletra,Toxic effect arsenic
56,HYOSCYAMINE SULFATE,Postablat testic hypofun
57,Triazolam,Malig neo lower gum
58,Lorazepam,Ob trauma NOS-delivered
59,Pylera,Upper limb anomaly NEC
60,Prazosin Hydrochloride,Food poisoning NOS
61,Clearasil PerfectaWash,Sacral spinal cord injur
62,English Walnut,Opn skl/oth fx-prol coma
63,Metformin Hydrochloride,Obstacle course
64,Thyroveev,Malig neo glans penis
65,NIVEA A Kiss of Smoothness Hydrating Lip Care,Fall from train-ped cycl
66,Gripmax,Rheumatic aortic insuff
67,Amitriptyline Hydrochloride,Poison-opiate antagonist
68,Metformin Hydrochloride,Dermatitis oth radiation
69,CRYSELLE,Watercraft expl-pers NOS
70,Meloxicam,Acute appendicitis NOS
71,Icy Hot Arthritis,GI injury NEC-closed
72,good sense tussin,Mult nerve root/plex inj
73,Fluticasone Propionate,Dis mid ear/mastoid NOS
74,Marvel Iron Man 3 Hand Sanitizer,Ac pelv peritonitis-fem
75,Fleet,Fem genital fistula NOS
76,Gentamicin Sulfate in Sodium Chloride,"Urin-genital fistul, fem"
77,kids cough,Histoplasm caps endocard
78,Namenda,Chilblains
79,Stool Softener,Letterer-siwe dis thorax
80,Levoxyl,Jt derangment NEC-pelvis
