leave_id,employee_id,leave_type_id,leave_start_date,leave_end_date,leave_duration,leave_request_status,leave_comment
1,98,1,2023-06-30,2023-12-09,23:15,FALSE,ut
2,48,2,2023-08-30,2023-09-07,9:24,FALSE,molestie sed
3,22,3,2023-02-10,2023-02-11,11:45,FALSE,nibh quisque
4,68,4,2023-01-28,2023-09-03,17:46,FALSE,libero non
5,79,5,2023-09-23,2023-04-12,0:19,FALSE,at velit eu
6,1,6,2023-03-30,2023-06-07,11:54,TRUE,amet
7,18,7,2023-07-17,2023-11-22,18:16,FALSE,eros viverra
8,60,8,2023-03-20,2023-09-25,15:45,TRUE,vehicula condimentum
9,90,9,2023-10-11,2023-05-26,7:06,FALSE,praesent blandit
10,86,10,2023-11-05,2023-05-15,18:39,TRUE,pretium nisl
11,41,11,2023-07-16,2023-03-26,10:33,FALSE,justo maecenas rhoncus
12,36,12,2023-12-20,2023-02-03,18:14,TRUE,lobortis sapien sapien
13,67,13,2023-10-31,2023-10-30,8:59,TRUE,justo pellentesque viverra
14,26,14,2023-08-01,2023-11-21,10:37,FALSE,suspendisse accumsan
15,94,15,2023-02-18,2023-03-24,14:39,FALSE,in
16,76,16,2023-08-12,2023-10-27,12:44,TRUE,fusce congue
17,10,17,2023-05-31,2023-10-20,16:17,FALSE,ut mauris
18,53,18,2023-05-03,2023-08-20,9:40,TRUE,velit
19,42,19,2023-05-16,2023-09-04,15:50,TRUE,mauris vulputate
20,33,20,2023-03-28,2023-10-28,20:30,FALSE,quis augue luctus
21,13,21,2023-11-13,2023-03-06,9:52,FALSE,dapibus augue vel
22,51,22,2023-09-25,2023-05-16,21:14,TRUE,varius integer
23,54,23,2023-03-12,2023-06-05,6:22,TRUE,lobortis est phasellus
24,35,24,2023-05-12,2023-04-29,11:49,TRUE,velit donec
25,77,25,2023-05-23,2023-06-03,18:56,TRUE,velit vivamus
26,22,26,2023-05-26,2023-04-26,19:11,TRUE,tellus in
27,85,27,2023-10-28,2023-05-21,1:10,FALSE,a suscipit nulla
28,55,28,2023-04-14,2023-06-01,9:24,FALSE,lectus
29,97,29,2023-02-09,2023-10-31,13:50,TRUE,congue elementum in
30,19,30,2023-05-21,2023-09-07,4:54,TRUE,est lacinia nisi
31,36,31,2023-02-21,2023-03-10,18:17,TRUE,vel
32,31,32,2023-08-16,2023-07-05,22:33,TRUE,sed
33,43,33,2023-01-26,2023-10-04,9:18,TRUE,in hac
34,18,34,2023-01-29,2023-11-23,22:14,FALSE,quis turpis
35,47,35,2023-02-14,2023-05-07,14:45,FALSE,montes
36,73,36,2023-10-20,2023-09-29,1:48,FALSE,hac habitasse platea
37,94,37,2023-11-13,2023-01-27,9:21,FALSE,eget vulputate ut
38,80,38,2023-12-01,2023-12-03,8:46,TRUE,augue
39,94,39,2023-08-01,2023-07-14,15:46,FALSE,semper sapien
40,74,40,2023-04-05,2023-03-04,17:10,FALSE,amet justo
41,58,41,2023-11-27,2023-07-26,9:21,TRUE,a libero nam
42,58,42,2023-03-20,2023-09-27,17:51,FALSE,in
43,91,43,2023-07-10,2023-12-03,19:04,FALSE,eleifend
44,6,44,2023-10-06,2023-07-21,2:55,TRUE,vivamus
45,57,45,2023-02-07,2023-01-03,3:09,FALSE,rhoncus aliquam
46,74,46,2023-03-30,2023-04-03,19:36,FALSE,ac nulla sed
47,76,47,2023-08-25,2023-10-12,22:08,TRUE,scelerisque
48,64,48,2023-01-27,2023-11-28,14:29,TRUE,morbi quis
49,3,49,2023-12-06,2023-12-02,8:50,FALSE,augue
50,83,50,2023-11-25,2023-11-04,14:16,TRUE,nulla
51,93,51,2023-09-24,2023-03-13,8:41,TRUE,nullam orci pede
52,71,52,2023-12-11,2023-12-06,9:52,FALSE,pellentesque
53,88,53,2023-07-30,2023-03-28,14:40,TRUE,duis
54,66,54,2023-10-19,2023-05-15,6:57,FALSE,massa volutpat
55,43,55,2023-04-22,2023-02-02,14:13,TRUE,ac lobortis vel
56,48,56,2023-01-31,2023-11-28,3:11,FALSE,posuere
57,70,57,2023-07-28,2023-11-03,20:36,FALSE,nisl
58,82,58,2023-02-09,2023-03-04,5:08,FALSE,vulputate nonummy maecenas
59,62,59,2023-12-14,2023-12-03,14:21,TRUE,ullamcorper purus
60,54,60,2023-07-23,2023-09-27,22:49,TRUE,eu est congue
61,59,61,2023-06-03,2023-04-04,5:53,TRUE,at velit
62,83,62,2023-01-27,2023-09-25,5:26,TRUE,etiam
63,84,63,2023-09-03,2023-05-30,14:38,TRUE,elit
64,21,64,2023-12-19,2023-01-15,4:12,FALSE,in
65,54,65,2023-06-02,2023-08-10,16:40,TRUE,nec
66,97,66,2023-11-17,2023-03-27,6:00,FALSE,sagittis sapien cum
67,23,67,2023-10-09,2023-03-14,10:41,FALSE,id
68,83,68,2023-08-28,2023-11-29,15:36,TRUE,elementum eu interdum
69,80,69,2023-09-23,2023-04-04,4:06,FALSE,eros elementum pellentesque
70,48,70,2023-05-19,2023-12-10,19:17,TRUE,suscipit ligula
71,76,71,2023-01-01,2023-05-01,5:31,FALSE,ut tellus
72,77,72,2023-01-15,2023-09-24,9:55,TRUE,integer non
73,7,73,2023-04-12,2023-09-26,18:07,TRUE,etiam
74,9,74,2023-04-19,2023-12-22,17:03,FALSE,est lacinia nisi
75,36,75,2023-11-29,2023-06-21,13:44,TRUE,at nunc commodo
76,89,76,2023-04-15,2023-11-11,15:29,TRUE,nunc vestibulum ante
77,77,77,2023-10-08,2023-06-06,5:29,TRUE,etiam justo
78,5,78,2023-04-06,2023-01-23,14:43,TRUE,rutrum neque
79,51,79,2023-07-18,2023-04-17,6:39,TRUE,orci luctus et
80,43,80,2023-06-11,2023-09-06,5:54,FALSE,id
81,94,81,2023-06-12,2023-09-21,7:10,FALSE,ac lobortis
82,93,82,2023-03-18,2023-03-09,22:48,FALSE,ultrices
83,92,83,2023-01-10,2023-12-20,18:29,FALSE,mi pede
84,10,84,2023-01-16,2023-03-24,9:21,FALSE,justo sollicitudin ut
85,47,85,2023-12-25,2023-02-08,17:31,TRUE,at turpis
86,5,86,2023-08-03,2023-09-07,7:43,TRUE,pede justo
87,55,87,2023-10-22,2023-11-12,10:30,TRUE,lacus
88,65,88,2023-10-17,2023-09-04,17:55,FALSE,nisi volutpat
89,98,89,2023-03-31,2023-02-24,4:39,TRUE,amet eleifend
90,32,90,2023-12-11,2023-06-09,13:39,FALSE,viverra dapibus
91,56,91,2023-10-03,2023-08-01,6:28,FALSE,sodales sed tincidunt
92,3,92,2023-01-13,2023-12-17,8:32,TRUE,diam neque
93,1,93,2023-06-21,2023-04-28,15:54,FALSE,pulvinar sed
94,50,94,2023-07-19,2023-10-01,11:46,FALSE,nulla quisque arcu
95,45,95,2023-01-13,2023-05-19,17:10,FALSE,donec ut mauris
96,69,96,2023-03-24,2023-06-16,6:55,FALSE,velit id pretium
97,22,97,2023-04-24,2023-07-15,4:41,FALSE,praesent blandit
98,91,98,2023-05-31,2023-05-26,1:06,TRUE,sed ante
99,58,99,2023-05-31,2023-10-02,10:11,TRUE,luctus rutrum
100,4,100,2023-10-01,2023-03-30,18:59,FALSE,sapien
