payroll_id ,payroll_period ,calculated_earnings ,deductions,netpay ,overtime_hours ,payroll_date ,tax_deduction ,compensation_id 
1,3/1/2023,47.2,85.6,91.0,86.3,7/3/2023,25,1
2,8/29/2023,22.3,95.0,41.1,17.2,1/22/2023,50,95
3,5/3/2023,34.9,24.6,15.2,98.2,6/6/2023,31,19
4,7/17/2023,66.1,5.9,54.6,14.0,9/26/2023,99,69
5,10/13/2023,89.4,71.4,51.4,96.8,11/11/2023,73,65
6,2/22/2023,99.2,89.2,49.7,60.4,5/9/2023,91,3
7,3/12/2023,9.6,52.3,15.9,7.7,2/6/2023,36,33
8,5/8/2023,65.4,68.9,45.1,4.0,6/1/2023,21,91
9,4/22/2023,35.4,49.7,44.1,77.7,5/10/2023,70,79
10,4/15/2023,57.4,99.2,36.9,62.8,6/23/2023,48,92
11,10/15/2023,18.5,66.5,48.4,61.0,11/10/2023,2,93
12,11/22/2023,51.7,61.7,94.3,84.1,12/10/2022,21,98
13,7/11/2023,30.5,46.4,88.5,81.0,8/18/2023,23,85
14,7/22/2023,69.0,7.3,30.1,50.8,3/14/2023,59,10
15,3/18/2023,17.2,32.0,13.2,4.4,12/6/2022,83,49
16,12/16/2022,63.8,38.1,63.9,25.6,12/6/2022,78,11
17,2/25/2023,52.2,63.2,13.8,43.3,1/11/2023,65,7
18,10/14/2023,18.8,79.6,2.2,59.8,1/5/2023,35,11
19,12/23/2022,1.1,14.7,13.3,13.0,5/4/2023,28,10
20,2/19/2023,70.9,35.9,84.4,52.4,8/18/2023,4,50
21,7/7/2023,83.3,81.1,97.8,96.8,2/18/2023,65,84
22,3/22/2023,24.5,96.0,22.7,58.4,12/19/2022,60,33
23,7/4/2023,43.1,98.2,91.7,68.6,11/24/2023,90,68
24,1/29/2023,61.1,16.2,75.2,92.3,4/5/2023,88,81
25,11/26/2022,88.9,16.0,80.7,92.1,3/26/2023,76,32
26,12/15/2022,76.5,37.9,78.4,68.6,8/20/2023,50,68
27,11/25/2023,36.5,87.7,45.0,23.0,10/22/2023,95,61
28,11/16/2023,5.2,95.3,93.4,76.0,6/26/2023,45,24
29,3/26/2023,50.3,28.4,26.4,20.2,2/24/2023,78,88
30,9/3/2023,40.1,25.4,95.9,64.2,6/3/2023,53,24
31,5/15/2023,43.8,64.0,92.7,89.3,6/19/2023,16,76
32,7/31/2023,25.2,79.3,7.4,22.0,12/4/2022,62,48
33,2/25/2023,28.1,34.9,73.6,22.1,7/21/2023,94,41
34,3/9/2023,34.5,5.3,35.4,90.7,2/2/2023,45,9
35,5/27/2023,84.5,66.8,69.8,96.9,7/31/2023,39,40
36,12/30/2022,90.8,80.8,67.2,5.5,10/8/2023,53,81
