training_category_id ,training_category_name ,training_category_explain 
1,Accounting Assistant IV,Abdmnal tndr epigastric
2,Professor,Op skl vlt fx-concus NOS
3,Chief Design Engineer,TB of eye-micro dx
4,Structural Engineer,Mandibular hypoplasia
5,Sales Representative,Scndhnd tbcco smoke
6,Account Representative III,Kidney injury NOS-closed
7,Senior Financial Analyst,Osteoarthros NOS-unspec
8,Accountant IV,Salivary gland dis NOS
9,Registered Nurse,Scorpion sting
10,Media Manager II,Viral exanthemata NEC
11,Account Representative I,Cheerleading
12,Financial Advisor,Duodenal ulcer NOS-obstr
13,Budget/Accounting Analyst III,Ca in situ liver/biliary
14,GIS Technical Architect,Anaplastic lymph head
15,Librarian,Fall-nonmotor scooter
16,Payment Adjustment Coordinator,Ankylosis-mult joints
17,Chemical Engineer,Intrauterine synechiae
18,Senior Financial Analyst,Pneumococcal meningitis
19,VP Sales,Arthropod infest NEC
20,Quality Control Specialist,Oth rd veh acc-st car
21,Senior Cost Accountant,Rheum fev w/o hrt involv
22,Business Systems Development Analyst,Anaplastic lymph axilla
23,Desktop Support Technician,Injury hypoglossal nerve
24,Account Coordinator,Bladder neck obstruction
25,Software Engineer III,Chronic cluster headache
26,Editor,Screen-bact conjunctivit
27,Junior Executive,Acc pois-petroleum solid
28,Automation Specialist I,Urethral caruncle
29,Statistician II,Late effect dislocation
30,Systems Administrator II,Screen for skin cond
31,Chief Design Engineer,Tox eff noxious food NOS
32,Help Desk Technician,Benign neo mediastinum
33,Software Consultant,Insect bite trunk
34,Financial Advisor,FB trach/bronch/lung NEC
35,Accountant IV,Deficiencies of head
36,VP Quality Control,Allergic purpura
37,Nurse Practicioner,Acq deformity NEC
38,Geological Engineer,Chr duoden ulc hem/perf
39,Environmental Specialist,Chr pyelonephritis NOS
40,Legal Assistant,Othr migrne w ntrc mgrne
41,Account Executive,Retain FB NEC
42,Help Desk Operator,Cong abn uter preg-unsp
43,VP Marketing,Open skull base fracture
44,Senior Financial Analyst,Liveborn NOS-hosp w cs
