course_code,course_duration
1,51
2,54
3,7
4,65
5,75
6,67
7,40
8,72
9,25
10,86
11,36
12,24
13,19
14,35
15,74
16,17
17,22
18,100
19,92
20,99
21,85
22,44
23,79
24,99
25,95
26,80
27,21
28,13
29,3
30,82
31,50
32,20
33,33
34,80
35,18
36,37
37,89
38,2
39,18
40,61
41,83
42,98
43,4
44,30
45,53
46,99
47,39
48,75
49,88
50,41
51,31
52,15
53,42
54,32
55,87
56,94
57,12
58,54
59,35
60,9
61,53
62,39
63,89
64,59
65,65
66,13
67,45
68,74
69,1
70,91
71,87
72,6
73,4
74,27
75,65
76,80
77,66
78,12
79,21
80,77
81,74
82,8
83,94
84,4
85,65
86,82
87,98
88,41
89,5
90,95
91,53
92,81
93,22
94,30
95,70
96,55
97,33
98,82
99,98
100,20
101,61
102,43
103,33
104,90
105,50
106,7
107,13
108,7
109,20
110,48
111,30
112,58
113,65
114,93
115,40
116,37
117,17
118,27
119,31
120,77
121,86
122,34
123,50
124,95
125,77
126,94
127,36
128,10
129,18
130,19
131,10
132,2
133,41
134,14
135,78
136,4
137,38
138,61
139,69
140,29
141,47
142,65
143,97
144,39
145,14
146,58
147,66
148,44
149,94
150,84
151,49
152,20
153,51
154,76
155,76
156,57
157,74
158,34
159,15
160,99
161,26
162,76
163,99
164,13
165,47
166,76
167,54
168,36
169,32
170,93
171,10
172,17
173,98
174,34
175,34
176,15
177,46
178,99
179,7
180,52
181,100
182,25
183,83
184,86
185,70
186,12
187,51
188,7
189,90
190,8
191,43
192,88
193,61
194,87
195,75
196,67
197,79
198,21
199,21
200,38
201,79
202,84
203,29
204,61
205,94
206,92
207,26
208,90
209,79
210,46
211,72
212,96
213,100
214,93
215,20
216,90
217,59
218,3
219,83
220,36
221,61
222,31
223,80
224,94
225,24
226,16
227,41
228,96
229,65
230,48
231,5
232,5
233,37
234,97
235,31
236,81
237,3
238,70
239,57
240,59
241,76
242,42
243,67
244,23
245,9
246,91
247,70
248,99
249,88
250,97
251,22
252,43
253,82
254,94
255,75
256,2
257,69
258,57
259,97
260,26
261,94
262,63
263,87
264,93
265,39
266,95
267,4
268,90
269,87
270,53
271,61
272,54
273,62
274,30
275,67
276,49
277,92
278,64
279,63
280,99
281,35
282,97
283,20
284,49
285,6
286,92
287,65
288,63
289,43
290,95
291,20
292,73
293,72
294,3
295,8
296,43
297,50
298,43
299,21
300,58
301,47
302,59
303,51
304,64
305,22
306,37
307,38
308,83
309,99
310,30
311,75
312,80
313,7
314,35
315,8
316,33
317,5
318,73
319,15
320,44
321,21
322,29
323,32
324,18
325,19
326,36
327,57
328,33
329,44
330,9
331,64
332,22
333,6
334,64
335,27
336,3
337,26
338,79
339,15
340,29
341,50
342,36
343,62
344,76
345,63
346,96
347,64
348,81
349,95
350,53
351,76
352,92
353,18
354,51
355,60
356,92
357,55
358,100
359,37
360,69
361,55
362,50
363,54
364,83
365,41
366,23
367,82
368,36
369,100
370,69
371,15
372,91
373,57
374,73
375,40
376,12
377,29
378,48
379,10
380,52
381,79
382,36
383,65
384,63
385,26
386,61
387,34
388,19
389,62
390,98
391,20
392,6
393,67
394,31
395,97
396,8
397,44
398,48
399,92
400,47
401,28
402,78
403,25
404,87
405,18
406,41
407,3
408,9
409,50
410,27
411,66
412,31
413,93
414,21
415,100
416,85
417,86
418,10
419,61
420,68
421,12
422,90
423,76
424,64
425,85
426,79
427,10
428,37
429,8
430,58
431,69
432,43
433,4
434,53
435,33
436,66
437,19
438,7
439,24
440,96
441,36
442,91
443,38
444,84
445,16
446,2
447,56
448,75
449,16
450,52
451,76
452,60
453,92
454,26
455,30
456,13
457,82
458,72
459,19
460,67
461,17
462,96
463,33
464,36
465,46
466,80
467,46
468,75
469,84
470,45
471,56
472,72
473,67
474,73
475,61
476,33
477,89
478,15
479,45
480,39
481,69
482,52
483,66
484,48
485,40
486,29
487,38
488,54
489,49
490,98
491,86
492,7
493,26
494,59
495,42
496,67
497,79
498,43
499,3
500,54
501,6
502,63
503,80
504,21
505,23
506,96
507,26
508,81
509,3
510,69
511,79
512,27
513,15
514,61
515,86
516,2
517,16
518,77
519,91
520,32
521,61
522,1
523,44
524,50
525,24
526,7
527,67
528,4
529,2
530,19
531,50
532,63
533,19
534,36
535,20
536,90
537,79
538,51
539,41
540,85
541,100
542,60
543,56
544,74
545,9
546,77
547,87
548,97
549,9
550,23
551,80
552,9
553,44
554,12
555,52
556,4
557,1
558,14
559,81
560,19
561,43
562,84
563,61
564,12
565,39
