applicant_status_change_id,applicant_status_id,applicant_id,date_changed
1,1,1,1/11/2023
2,2,2,12/9/2023
3,3,3,6/25/2023
4,4,4,11/19/2023
5,5,5,7/7/2023
6,6,6,2/2/2023
7,7,7,12/10/2023
8,8,8,2/13/2023
9,9,9,2/11/2023
10,10,10,9/17/2023
11,11,11,2/11/2023
12,12,12,3/17/2023
13,13,13,6/14/2023
14,14,14,12/21/2023
15,15,15,9/7/2023
16,16,16,4/19/2023
17,17,17,11/2/2023
18,18,18,12/23/2023
19,19,19,9/24/2023
20,20,20,5/7/2023
21,21,21,4/26/2023
22,22,22,6/11/2023
23,23,23,10/21/2023
24,24,24,7/17/2023
25,25,25,9/2/2023
26,26,26,3/14/2023
27,27,27,1/7/2023
28,28,28,9/1/2023
29,29,29,7/4/2023
30,30,30,11/25/2023
31,31,31,6/19/2023
32,32,32,7/1/2023
33,33,33,6/28/2023
34,34,34,10/20/2023
35,35,35,12/3/2023
36,36,36,1/22/2023
37,37,37,6/30/2023
38,38,38,5/5/2023
39,39,39,11/8/2023
40,40,40,3/12/2023
41,41,41,2/28/2023
42,42,42,9/28/2023
43,43,43,1/14/2023
44,44,44,4/9/2023
45,45,45,10/27/2023
46,46,46,10/24/2023
47,47,47,2/5/2023
48,48,48,4/15/2023
49,49,49,2/16/2023
50,50,50,9/18/2023
51,51,51,1/30/2023
52,52,52,7/11/2023
53,53,53,9/17/2023
54,54,54,12/24/2023
55,55,55,4/27/2023
56,56,56,10/21/2023
57,57,57,6/18/2023
58,58,58,9/16/2023
59,59,59,7/16/2023
60,60,60,7/3/2023
61,61,61,8/1/2023
62,62,62,2/5/2023
63,63,63,7/22/2023
64,64,64,2/19/2023
65,65,65,1/4/2023
66,66,66,6/15/2023
67,67,67,9/10/2023
68,68,68,1/6/2023
69,69,69,2/24/2023
70,70,70,9/21/2023
71,71,71,6/25/2023
72,72,72,5/22/2023
73,73,73,10/14/2023
74,74,74,7/12/2023
75,75,75,6/25/2023
76,76,76,11/22/2023
77,77,77,1/4/2023
78,78,78,11/9/2023
79,79,79,8/12/2023
80,80,80,5/27/2023
81,81,81,4/17/2023
82,82,82,7/26/2023
83,83,83,1/14/2023
84,84,84,9/24/2023
85,85,85,11/8/2023
86,86,86,4/22/2023
87,87,87,7/23/2023
88,88,88,4/9/2023
89,89,89,10/16/2023
90,90,90,9/4/2023
91,91,91,4/10/2023
92,92,92,3/30/2023
93,93,93,11/4/2023
94,94,94,11/17/2023
95,95,95,11/7/2023
96,96,96,3/11/2023
97,97,97,2/18/2023
98,98,98,8/2/2023
99,99,99,12/7/2023
100,100,100,2/28/2023
