attendance_record_id,employee_id,attendance_date,clock_in_time,clock_out_time,job_position_id,leave_id,duty_id,total_hours_labor
1,40,7/27/2023,10:52 AM,8:40 PM,1,1,24,46
2,31,10/31/2023,8:44 AM,7:17 PM,2,2,28,1
3,60,3/31/2023,10:35 AM,3:58 AM,3,3,23,76
4,4,1/12/2023,1:05 PM,10:12 AM,4,4,18,34
5,14,11/28/2023,1:37 PM,8:18 PM,5,5,84,98
6,52,1/4/2023,3:38 AM,11:39 AM,6,6,26,14
7,26,5/12/2023,9:15 PM,1:45 AM,7,7,27,55
8,49,10/12/2023,2:12 AM,7:43 PM,8,8,93,18
9,5,6/26/2023,5:13 PM,10:41 AM,9,9,59,5
10,25,8/25/2023,9:53 PM,3:12 PM,10,10,89,39
11,90,9/10/2023,8:03 PM,5:09 AM,11,11,66,37
12,26,12/30/2023,5:39 PM,9:15 AM,12,12,30,42
13,78,11/13/2023,8:04 AM,6:32 AM,13,13,5,87
14,7,8/20/2023,8:48 PM,5:12 PM,14,14,31,60
15,24,2/4/2023,7:37 PM,5:48 PM,15,15,82,86
16,37,8/1/2023,12:33 AM,6:35 AM,16,16,87,19
17,62,7/10/2023,2:30 AM,10:08 PM,17,17,63,67
18,57,5/26/2023,11:44 PM,11:20 AM,18,18,68,15
19,54,7/10/2023,8:55 PM,3:17 AM,19,19,27,94
20,38,12/8/2023,4:36 AM,5:03 AM,20,20,4,4
21,38,9/12/2023,2:31 PM,2:13 PM,21,21,62,98
22,3,10/10/2023,7:55 PM,5:29 PM,22,22,13,95
23,92,8/3/2023,3:35 AM,7:21 AM,23,23,25,73
24,41,4/4/2023,4:11 AM,8:26 PM,24,24,80,71
25,18,8/3/2023,7:12 AM,8:45 PM,25,25,100,72
26,30,11/5/2023,7:37 AM,3:37 AM,26,26,76,8
27,84,10/20/2023,12:42 PM,5:17 PM,27,27,39,18
28,80,4/19/2023,6:09 PM,5:28 AM,28,28,74,40
29,49,1/5/2023,8:57 PM,3:53 AM,29,29,92,41
30,53,6/3/2023,9:07 PM,1:26 PM,30,30,8,12
31,53,4/23/2023,9:09 PM,3:07 PM,31,31,89,18
32,86,8/15/2023,10:31 PM,6:26 AM,32,32,45,42
33,34,5/17/2023,1:54 PM,1:18 AM,33,33,14,85
34,7,3/9/2023,12:01 AM,6:11 PM,34,34,42,82
35,7,11/29/2023,12:22 PM,12:58 PM,35,35,46,56
36,35,3/22/2023,7:28 PM,4:01 PM,36,36,73,96
37,96,10/14/2023,12:43 AM,4:40 AM,37,37,25,66
38,87,12/11/2023,8:34 PM,11:27 PM,38,38,11,10
39,18,1/2/2023,11:35 PM,11:50 PM,39,39,4,12
40,55,9/29/2023,12:16 AM,4:08 AM,40,40,77,46
41,74,9/15/2023,12:37 PM,10:10 PM,41,41,60,55
42,79,8/13/2023,6:41 AM,7:27 PM,42,42,60,82
43,96,12/19/2023,12:40 PM,6:12 PM,43,43,39,57
44,26,6/7/2023,6:26 AM,1:07 PM,44,44,77,26
45,96,1/27/2023,6:16 AM,5:11 AM,45,45,45,79
46,44,6/27/2023,10:34 PM,9:40 PM,46,46,2,24
47,81,2/21/2023,12:54 AM,4:35 AM,47,47,28,11
48,61,9/28/2023,2:31 PM,8:38 AM,48,48,92,35
49,36,12/17/2023,8:14 AM,5:17 AM,49,49,36,73
50,20,9/7/2023,4:38 AM,10:33 AM,50,50,92,74
51,60,6/22/2023,7:27 AM,3:00 PM,51,51,70,58
52,97,4/8/2023,5:11 PM,12:47 PM,52,52,2,74
53,93,4/16/2023,5:13 AM,6:46 PM,53,53,65,85
54,17,12/6/2023,3:00 AM,1:32 PM,54,54,10,80
55,58,6/7/2023,4:46 PM,2:08 PM,55,55,29,44
56,85,7/17/2023,12:29 AM,11:13 AM,56,56,42,81
57,22,11/26/2023,2:07 AM,10:34 AM,57,57,29,8
58,94,8/26/2023,9:58 PM,5:12 PM,58,58,97,32
59,11,11/11/2023,10:42 AM,11:42 PM,59,59,26,14
60,99,6/10/2023,8:39 PM,4:35 PM,60,60,100,70
61,20,6/18/2023,5:41 AM,2:27 AM,61,61,48,17
62,98,11/1/2023,1:28 AM,5:44 AM,62,62,66,86
63,67,6/20/2023,8:41 AM,7:52 AM,63,63,6,57
64,43,6/26/2023,3:31 PM,1:51 AM,64,64,67,39
65,26,5/4/2023,6:14 AM,4:19 AM,65,65,28,68
66,88,8/12/2023,11:06 AM,7:48 AM,66,66,91,40
67,83,9/29/2023,10:24 AM,11:35 PM,67,67,94,2
68,14,4/20/2023,2:48 PM,8:36 PM,68,68,36,38
69,1,10/15/2023,5:37 PM,9:46 PM,69,69,18,88
70,21,5/23/2023,4:59 PM,1:40 AM,70,70,29,67
71,99,5/26/2023,12:37 PM,11:09 AM,71,71,59,24
72,91,7/21/2023,1:12 AM,7:13 PM,72,72,75,80
73,5,2/24/2023,3:10 AM,5:27 AM,73,73,19,78
74,59,2/5/2023,8:45 PM,7:45 PM,74,74,84,28
75,81,12/29/2023,2:02 PM,9:18 PM,75,75,84,79
76,12,6/14/2023,2:52 AM,3:40 PM,76,76,22,5
77,44,7/16/2023,10:11 AM,7:48 AM,77,77,62,91
78,62,4/28/2023,9:09 AM,2:23 PM,78,78,14,85
79,71,6/15/2023,12:41 AM,1:57 PM,79,79,78,16
80,53,1/26/2023,11:09 PM,12:01 PM,80,80,62,51
81,75,1/2/2023,10:45 PM,5:16 PM,81,81,44,60
82,40,11/21/2023,8:24 PM,12:15 PM,82,82,51,26
83,6,8/20/2023,10:10 PM,12:20 AM,83,83,58,82
84,55,8/12/2023,10:48 AM,2:56 PM,84,84,34,45
85,69,10/23/2023,8:38 PM,4:46 PM,85,85,18,74
86,29,9/17/2023,7:28 AM,3:07 AM,86,86,53,2
87,4,1/14/2023,4:54 AM,11:00 AM,87,87,50,73
88,53,4/23/2023,2:57 AM,12:14 PM,88,88,96,89
89,75,5/17/2023,10:05 PM,8:37 PM,89,89,1,57
90,24,1/30/2023,2:16 PM,9:26 AM,90,90,20,52
91,89,9/28/2023,5:34 AM,2:59 PM,91,91,37,65
92,52,1/11/2023,2:44 AM,3:09 PM,92,92,69,5
93,66,7/1/2023,1:53 PM,11:57 PM,93,93,6,92
