employee_fixed_compensation_id,compensation_event,pay_frequency,compensation_amount,employee_position,employee_id
1,nec nisi vulputate,lobortis ligula,$87502.13,84,1
2,massa id lobortis,dolor quis odio,$53291.24,13,2
3,dolor sit,eget,$77666.86,23,3
4,blandit,ut mauris,$62543.76,34,4
5,eget massa,malesuada in,$77918.49,100,5
6,diam erat,amet eleifend,$54764.09,36,6
7,vulputate nonummy,pretium nisl,$42901.08,37,7
8,orci pede venenatis,velit,$61265.21,8,8
9,dui vel sem,felis,$45418.19,18,9
10,est,at turpis,$25363.91,94,10
11,et ultrices posuere,lorem vitae mattis,$22176.49,58,11
12,nulla suspendisse,curae,$4659.70,94,12
13,pretium quis lectus,dis parturient montes,$41617.58,55,13
14,ut erat,elementum,$6276.91,36,14
15,vestibulum sagittis sapien,est risus,$6513.59,17,15
16,in tempus,turpis donec,$26837.84,30,16
17,integer a nibh,molestie hendrerit,$44532.44,81,17
18,sed tristique in,erat tortor,$48357.78,92,18
19,elementum nullam,nisl nunc nisl,$19358.14,25,19
20,mauris sit,purus phasellus in,$67747.51,65,20
21,odio cras mi,nisi volutpat,$92522.87,38,21
22,sapien in sapien,ipsum primis,$85648.78,94,22
23,sociis natoque penatibus,curae mauris,$22224.40,16,23
24,nulla nisl,accumsan,$36697.48,69,24
25,sem mauris laoreet,morbi odio,$71826.93,74,25
26,nulla nisl,amet sem,$3162.19,58,26
27,in leo maecenas,a pede posuere,$19984.74,23,27
28,aenean auctor,potenti nullam porttitor,$89858.83,48,28
29,interdum,primis in faucibus,$50880.22,32,29
30,erat id mauris,nec,$29723.10,44,30
31,duis,maecenas leo,$98191.18,76,31
32,sapien sapien,habitasse platea dictumst,$64576.91,36,32
33,lorem id ligula,mi sit amet,$73029.61,46,33
34,viverra eget,duis,$96894.62,27,34
35,aliquet at feugiat,orci pede venenatis,$97878.30,11,35
36,fusce posuere,mi,$99933.07,82,36
37,est,faucibus orci,$48336.85,84,37
38,eget semper rutrum,pede posuere,$74728.23,93,38
39,eleifend,venenatis,$87013.86,44,39
40,ultrices phasellus id,a nibh,$56981.26,75,40
41,suscipit nulla,nec,$20475.39,46,41
42,interdum eu,dui nec nisi,$85788.49,89,42
43,luctus et,metus aenean,$35975.67,13,43
44,ac,duis at velit,$35162.25,16,44
45,nonummy maecenas,ut tellus nulla,$3601.22,87,45
46,cum,est,$58191.21,94,46
47,nibh ligula,tempor turpis,$73554.70,65,47
48,accumsan,luctus et ultrices,$94568.03,80,48
49,ante vivamus tortor,in est risus,$37895.09,36,49
50,rutrum,in sapien iaculis,$80773.71,83,50
51,elit proin,non velit donec,$45026.65,14,51
52,id nulla,sit amet,$42671.10,67,52
53,risus dapibus augue,quis orci eget,$25107.55,6,53
54,felis ut,aliquet massa id,$15625.06,85,54
55,justo in,erat nulla tempus,$32384.78,14,55
56,pulvinar nulla,duis,$28645.35,11,56
57,libero nullam sit,proin,$27958.27,5,57
58,porttitor lacus at,vestibulum ante,$69547.65,50,58
59,vulputate vitae,eleifend quam a,$56333.60,10,59
60,placerat,a suscipit,$44600.11,44,60
61,a,amet,$11830.65,76,61
62,pede morbi,risus,$95556.11,50,62
63,eu magna vulputate,velit eu,$94685.69,45,63
64,imperdiet sapien urna,suspendisse potenti cras,$95227.00,96,64
65,nulla sed,in tempus,$28134.96,87,65
66,cubilia curae mauris,proin risus praesent,$22952.21,7,66
67,lectus vestibulum,consectetuer adipiscing elit,$77405.15,80,67
68,enim,elit ac,$36024.86,42,68
69,nulla quisque arcu,sed magna,$79939.74,98,69
70,nulla,ut,$11386.24,15,70
71,pharetra magna,elit,$402.16,79,71
72,suscipit nulla,nulla,$6119.27,100,72
73,lacinia,sociis natoque penatibus,$8604.93,97,73
74,aliquet ultrices,luctus,$12381.75,54,74
75,nam ultrices libero,vitae,$51521.88,47,75
76,lorem id ligula,quam fringilla rhoncus,$73085.31,72,76
77,eget tincidunt eget,tortor,$54165.89,2,77
78,eros vestibulum,mi sit amet,$62616.18,12,78
79,metus aenean fermentum,integer tincidunt ante,$38583.06,68,79
80,justo nec condimentum,eleifend quam a,$58738.49,95,80
81,porttitor pede,fermentum justo,$81795.17,27,81
82,morbi vestibulum velit,varius,$57174.58,55,82
83,sagittis nam congue,in hac habitasse,$62737.60,81,83
84,justo in blandit,vestibulum,$30975.93,43,84
85,odio cras mi,augue,$96374.12,74,85
86,in,at feugiat,$22793.87,80,86
87,ut dolor morbi,orci nullam,$89252.32,79,87
88,cursus urna ut,mollis molestie,$82722.99,14,88
89,lectus suspendisse,justo,$95223.00,27,89
90,fringilla rhoncus,orci,$94105.99,13,90
91,convallis,eu nibh,$4769.62,92,91
92,diam,orci luctus,$95426.40,96,92
93,donec,vel,$26605.32,4,93
94,rutrum,praesent blandit,$85749.72,43,94
95,massa quis,nulla suscipit ligula,$954.60,39,95
96,nulla,nisl duis,$4789.93,89,96
97,mattis pulvinar nulla,id,$41546.70,28,97
98,lectus,platea,$10065.13,37,98
99,lobortis sapien,auctor,$97092.38,35,99
100,cras,vivamus tortor,$79523.31,78,100
