interview_note_id,applicant_id,notes,interview_id,interview_score
1,1,curabitur,1,10
2,2,rutrum,2,6
3,3,leo odio porttitor,3,2
4,4,etiam,4,10
5,5,ipsum integer,5,4
6,6,pellentesque at nulla,6,2
7,7,maecenas tincidunt,7,2
8,8,vestibulum velit id,8,8
9,9,eget tincidunt,9,8
10,10,lectus,10,10
11,11,ac,11,2
12,12,quam sollicitudin vitae,12,10
13,13,eu,13,9
14,14,sit amet eros,14,2
15,15,est congue elementum,15,1
16,16,egestas metus aenean,16,10
17,17,porttitor id,17,10
18,18,aliquam,18,8
19,19,at,19,6
20,20,eu est congue,20,9
21,21,tempus sit amet,21,3
22,22,et tempus,22,4
23,23,ac nibh,23,6
24,24,felis eu sapien,24,4
25,25,habitasse platea dictumst,25,9
26,26,penatibus,26,5
27,27,aliquet pulvinar,27,2
28,28,fusce congue diam,28,4
29,29,enim,29,2
30,30,aliquam,30,3
31,31,quisque ut erat,31,2
32,32,vestibulum,32,4
33,33,pede libero,33,2
34,34,duis,34,6
35,35,at,35,8
36,36,habitasse platea dictumst,36,7
37,37,in faucibus orci,37,3
38,38,in faucibus,38,7
39,39,ante vestibulum,39,1
40,40,tortor sollicitudin mi,40,5
41,41,convallis eget eleifend,41,8
42,42,ante ipsum primis,42,5
43,43,quisque porta volutpat,43,2
44,44,lacus,44,7
45,45,ante vel,45,6
46,46,etiam pretium iaculis,46,6
47,47,integer pede,47,2
48,48,in,48,9
49,49,eu magna vulputate,49,10
50,50,tincidunt in leo,50,3
51,51,sociis natoque penatibus,51,9
52,52,in,52,5
53,53,ipsum,53,10
54,54,odio donec,54,7
55,55,platea dictumst,55,4
56,56,nulla tempus vivamus,56,3
57,57,lacus,57,2
58,58,semper est quam,58,1
59,59,tempus,59,8
60,60,imperdiet sapien urna,60,8
61,61,in magna bibendum,61,1
62,62,varius ut,62,9
63,63,dapibus nulla,63,8
64,64,vel nulla eget,64,7
65,65,lacinia aenean,65,2
66,66,praesent,66,9
67,67,dapibus,67,1
68,68,luctus et,68,6
69,69,cubilia curae,69,4
70,70,suspendisse,70,2
71,71,aliquet,71,6
72,72,lorem id,72,4
73,73,vel accumsan tellus,73,9
74,74,mauris,74,1
75,75,molestie sed justo,75,10
76,76,ultrices,76,10
77,77,etiam justo etiam,77,3
78,78,cursus urna ut,78,7
79,79,sit,79,7
80,80,nulla,80,1
81,81,quisque erat eros,81,8
82,82,leo pellentesque ultrices,82,2
83,83,est risus,83,1
84,84,varius,84,5
85,85,neque duis bibendum,85,8
86,86,ac est lacinia,86,5
87,87,luctus,87,5
88,88,quam sapien varius,88,4
89,89,habitasse,89,10
90,90,duis consequat,90,4
91,91,eget orci vehicula,91,7
92,92,a,92,8
93,93,pede,93,9
94,94,varius,94,1
95,95,luctus et ultrices,95,5
96,96,integer pede justo,96,7
97,97,enim,97,10
98,98,suspendisse,98,5
99,99,tincidunt in leo,99,8
100,100,luctus,100,7
