job_vacancies_id,job_position_id,job_description,date_published,date_close,job_vacancy_department,job_vacancy_skills_qualification,no_vacancies
1,1,vestibulum sagittis sapien cum,6/28/2023,7/13/2023,54,false,55
2,2,nulla dapibus dolor vel,3/28/2023,5/21/2023,16,true,87
3,3,habitasse platea dictumst maecenas ut,4/2/2023,11/15/2023,13,true,27
4,4,quam pharetra magna,1/25/2023,7/5/2023,45,false,82
5,5,amet cursus id turpis,4/16/2023,9/8/2023,59,true,36
6,6,non velit donec,6/17/2023,8/20/2023,63,true,44
7,7,quis turpis sed ante vivamus,3/1/2023,12/23/2023,49,false,98
8,8,in purus eu magna vulputate,2/21/2023,10/29/2023,98,true,37
9,9,penatibus et magnis,3/7/2023,3/2/2023,68,false,31
10,10,augue luctus tincidunt nulla,6/3/2023,7/17/2023,68,false,56
11,11,non mattis pulvinar nulla,1/27/2023,4/12/2023,49,true,29
12,12,urna pretium nisl,6/23/2023,11/9/2023,11,true,90
13,13,sapien arcu sed,4/9/2023,11/3/2023,99,false,79
14,14,ut massa volutpat,5/13/2023,6/20/2023,78,false,89
15,15,cubilia curae duis faucibus accumsan,2/27/2023,2/7/2023,4,false,1
16,16,morbi porttitor lorem,1/7/2023,6/3/2023,48,false,63
17,17,nunc purus phasellus in,6/7/2023,11/12/2023,2,false,18
18,18,eget tempus vel pede,3/13/2023,8/23/2023,38,true,3
19,19,tincidunt nulla mollis molestie lorem,4/16/2023,10/4/2023,54,true,59
20,20,donec semper sapien a,4/20/2023,6/8/2023,24,true,67
21,21,nulla tellus in,5/14/2023,4/24/2023,43,true,86
22,22,curae donec pharetra,6/15/2023,8/7/2023,7,true,60
23,23,interdum in ante vestibulum,5/17/2023,7/5/2023,75,false,84
24,24,nulla eget eros elementum pellentesque,6/5/2023,8/31/2023,24,true,92
25,25,curae mauris viverra,3/1/2023,8/15/2023,39,false,96
26,26,risus auctor sed tristique in,6/7/2023,12/18/2023,60,true,62
27,27,tempus semper est,6/17/2023,5/15/2023,99,false,43
28,28,semper rutrum nulla nunc purus,2/26/2023,11/14/2023,62,false,55
29,29,condimentum curabitur in libero,1/10/2023,6/28/2023,32,false,88
30,30,urna pretium nisl,3/31/2023,5/23/2023,30,true,28
31,31,mauris laoreet ut rhoncus aliquet,3/29/2023,2/18/2023,80,true,47
32,32,donec pharetra magna,5/20/2023,4/9/2023,66,false,65
33,33,id sapien in sapien iaculis,2/24/2023,2/3/2023,70,false,79
34,34,nisi venenatis tristique fusce congue,3/19/2023,11/14/2023,60,false,70
35,35,placerat praesent blandit nam,5/30/2023,4/18/2023,33,false,14
36,36,duis mattis egestas metus aenean,1/25/2023,4/29/2023,60,true,1
37,37,ac nibh fusce lacus purus,4/12/2023,7/15/2023,49,false,39
38,38,quam pharetra magna,1/24/2023,4/23/2023,35,true,98
