payroll_id,employee_id,payroll_period,calculated_earnings,deductions,netpay,overtime_hours,payroll_date,compensation_id,tax_deduction
1,88,2023-11-04,4597.45,3992.69,27888.37,63,2023-04-16,1,67
2,40,2023-11-25,4502.53,3879.81,11272.63,44,2023-09-06,2,69
3,86,2023-03-14,2296.92,1583.38,34669.41,50,2023-01-20,3,61
4,43,2023-04-12,2700.58,4288.54,25825.26,32,2023-04-03,4,68
5,28,2023-10-08,2986.21,3547.41,46935.26,54,2023-12-04,5,31
6,45,2023-09-21,2732.3,2808.93,16805.27,44,2023-03-09,6,73
7,36,2023-02-03,1938.99,4579.17,21622.7,90,2023-07-12,7,90
8,99,2023-08-20,3648.63,4521.24,15403.55,77,2023-10-02,8,48
9,47,2023-01-25,3375.06,2117.02,44862.21,96,2023-07-26,9,30
10,81,2023-01-10,4152.06,1473.36,30587.56,14,2023-04-04,10,90
11,94,2023-01-15,3206.08,2759.46,35963.68,18,2023-11-16,11,61
12,78,2023-08-29,3416.8,2243.07,11360.5,60,2023-10-22,12,26
13,82,2023-07-26,2076.66,2907.13,36592.67,63,2023-06-30,13,6
14,9,2023-02-03,2673.4,4486.43,36620.91,3,2023-09-20,14,60
15,95,2023-06-20,1093.65,2722.31,47258.27,55,2023-12-28,15,71
16,32,2023-06-15,1562.45,4834.04,13449.75,89,2023-09-22,16,93
17,12,2023-03-25,2371.98,4067.66,21943.64,65,2023-03-29,17,10
18,6,2023-09-21,2317.15,1368.5,40987.88,55,2023-05-04,18,88
19,59,2023-09-23,4360.12,3977.28,32779.92,51,2023-06-01,19,95
20,52,2023-07-28,3199.45,1303.91,37701.84,79,2023-04-07,20,54
21,58,2023-05-21,2916.87,1593.26,21530.75,75,2023-07-17,21,62
22,69,2023-12-29,2790.9,1515.06,27286.16,97,2023-11-11,22,43
23,31,2023-11-06,1369.94,2588.65,47449.86,39,2023-04-15,23,57
24,39,2023-06-13,4161.27,3006.25,37188.33,100,2023-04-24,24,2
25,13,2023-06-08,3983.85,2558.22,29603.85,45,2023-01-30,25,18
26,68,2023-06-02,3435.93,3823.26,10691.07,58,2023-04-04,26,38
27,93,2023-04-12,1392.66,3585.05,38204.24,8,2023-05-04,27,53
28,48,2023-11-28,2159.91,1590.34,14083.67,84,2023-04-24,28,17
29,29,2023-10-06,4405.28,2858.69,41700.54,49,2023-02-21,29,49
30,15,2023-03-28,2264.29,1357.68,17505.31,13,2023-05-22,30,4
31,16,2023-04-13,1470.33,3871.69,23836.17,56,2023-06-26,31,54
32,77,2023-05-18,4049.53,4276.12,46031.13,28,2023-11-07,32,6
33,8,2023-09-17,4484.09,4892.63,44686.62,12,2023-05-19,33,36
34,4,2023-02-16,3442.93,4229.61,11971.48,66,2023-09-19,34,69
35,75,2023-10-07,1668.65,1709.72,36766.6,78,2023-04-02,35,21
36,76,2023-11-19,2141.47,3470.36,24754.17,80,2023-08-22,36,74
37,49,2023-08-27,1821.68,2145.68,36613.73,37,2023-09-19,37,80
38,26,2023-10-06,4010.33,4816.45,37751.36,63,2023-08-22,38,29
39,61,2023-12-14,3189.4,1570.55,43017.8,22,2023-12-15,39,60
40,22,2023-11-12,4682.22,1017.78,24364.19,72,2023-08-22,40,54
41,60,2023-11-02,4921.92,4728,49688.26,87,2023-08-07,41,24
42,79,2023-09-28,2110.92,4076.41,39859.69,41,2023-09-08,42,93
43,19,2023-07-08,1566.05,4710.78,28228.09,100,2023-10-23,43,23
44,65,2023-10-08,1132.69,2049.17,34814.32,48,2023-04-06,44,90
45,1,2023-09-07,1476.95,4987.75,21862.72,74,2023-02-11,45,82
46,71,2023-09-10,4311.33,4133.59,13397.38,19,2023-02-26,46,83
47,38,2023-06-03,4326.37,4727.12,20352.7,36,2023-10-20,47,4
48,90,2023-12-21,2602.18,2582.93,16757.46,34,2023-12-14,48,52
49,98,2023-05-05,3918.56,4554.81,31997.19,74,2023-11-29,49,15
50,3,2023-07-30,1546.27,2109.23,16652.18,19,2023-10-09,50,25
51,83,2023-03-25,4913.5,2979.1,23762.68,88,2023-06-12,51,8
52,70,2023-03-20,1219.26,4074.15,13469.96,29,2023-10-21,52,56
53,97,2023-10-18,4248.6,2772.07,38744.04,71,2023-05-07,53,72
54,64,2023-11-03,3370.67,3369.29,14968.42,46,2023-12-26,54,47
55,54,2023-04-25,2820.54,3369.19,18295.73,52,2023-05-06,55,71
56,33,2023-07-05,4939.17,4909.17,23702.75,88,2023-12-22,56,41
57,50,2023-03-03,1053.68,1069.37,16334.7,88,2023-09-25,57,13
58,66,2023-03-31,1136.97,1402.87,17843.12,47,2023-10-05,58,76
59,92,2023-02-05,2205.79,4099.55,34364.1,28,2023-03-05,59,53
60,67,2023-07-28,2643.9,4472,45171.6,93,2023-07-16,60,53
61,62,2023-11-12,3648.4,3057.56,45332.13,76,2023-02-03,61,29
62,14,2023-07-18,2885.79,3987.05,27212.08,25,2023-05-30,62,75
63,73,2023-05-21,3231.38,3762.98,27819.69,62,2023-12-06,63,68
64,74,2023-06-12,1932.82,3682.84,45079.23,96,2023-01-26,64,61
65,10,2023-05-23,2326,3641.59,26441.63,10,2023-05-10,65,22
66,17,2023-03-03,1742.69,1229.58,47207.28,24,2023-11-05,66,14
67,84,2023-11-08,1644.71,1525.8,42640.7,17,2023-07-16,67,41
68,18,2023-02-18,4371.19,2963.27,34978.88,39,2023-12-17,68,66
69,63,2023-09-01,1288.36,2040.98,19405.46,56,2023-10-22,69,69
70,37,2023-06-25,4960.64,4533.83,22934.15,66,2023-12-07,70,32
71,7,2023-06-29,1186.22,1975.54,46758.38,48,2023-05-03,71,99
72,72,2023-04-06,4699.86,3821.86,42611.14,25,2023-12-02,72,48
73,55,2023-06-01,2467.58,2737.79,15860.78,51,2023-01-20,73,12
74,5,2023-08-25,1707.06,4243.28,38490.16,82,2023-09-28,74,37
75,87,2023-12-27,4778.26,3661.91,19749.04,100,2023-05-12,75,2
76,34,2023-08-12,3031.48,3873.07,41130.91,97,2023-05-28,76,8
77,35,2023-01-09,3844.79,2721.78,16416.34,19,2023-03-04,77,36
78,11,2023-05-08,2854.39,4095.54,48988.66,72,2023-12-04,78,1
79,57,2023-01-23,4864.06,3771.27,23164.09,10,2023-02-12,79,11
80,100,2023-01-16,4076.89,2982.98,41327.36,99,2023-08-05,80,18
81,85,2023-12-05,2651.38,1931.35,27766,20,2023-05-05,81,72
82,23,2023-12-19,4582.31,4392.21,36025.88,11,2023-09-03,82,50
83,25,2023-07-02,2276.93,3945.41,21284.91,50,2023-10-01,83,78
84,21,2023-04-29,4055.87,1640.48,16352.14,16,2023-06-18,84,23
85,80,2023-05-21,3731.9,1666.65,27983.78,48,2023-04-05,85,12
86,51,2023-08-29,2137.26,4539.74,43312.33,59,2023-03-30,86,59
87,27,2023-04-12,2267.09,2903.01,29583.7,66,2023-07-21,87,31
88,91,2023-05-06,3375.83,2951.07,38926,25,2023-05-29,88,94
89,41,2023-07-17,3446.51,3529.28,49933.31,92,2023-11-17,89,3
90,89,2023-01-26,1884.73,3239.96,48432.28,82,2023-08-20,90,89
91,56,2023-11-16,3005.72,2290.93,17582.43,27,2023-05-29,91,63
92,20,2023-04-17,2521.16,2552.24,48792.08,53,2023-11-22,92,86
93,30,2023-09-30,1566.49,1381.74,31780.68,36,2023-08-23,93,25
94,46,2023-02-08,1441.64,3258.89,41854.27,25,2023-03-11,94,72
95,44,2023-07-05,1029.67,4019.37,46765.26,65,2023-06-05,95,9
96,42,2023-10-25,4383.92,1817.55,45946.79,80,2023-05-19,96,7
97,96,2023-06-02,1968.53,4659.92,14861.65,46,2023-11-06,97,67
98,2,2023-07-21,2510.88,3161.53,27733.25,63,2023-11-24,98,68
99,24,2023-06-21,3417.4,3038.4,24575.08,6,2023-10-03,99,84
100,53,2023-02-21,1264.91,1750.68,17922.72,33,2023-04-11,100,38
