course_category_id ,course_category_name,course_category_explain
1,Accountant III,Horseback riding
2,Safety Technician III,Spastic entropion
3,Senior Developer,Cystitis NEC
4,Developer II,Amebic brain abscess
5,Developer III,Mal neo ant 2/3 tongue
6,Nuclear Power Engineer,Other lymphedema
7,Quality Engineer,Legal abor w hemorr-unsp
8,Developer II,Opn wnd lary w trac-comp
9,Structural Analysis Engineer,Cheyne-stokes respiratn
10,Information Systems Manager,Leg ab w compl NEC-comp
11,VP Sales,Leg ab w compl NEC-comp
12,Technical Writer,Mal neo ant 2/3 tongue
13,Accounting Assistant IV,Sprain of pelvis
14,Geological Engineer,Sprain of pelvis
15,Geologist IV,Compartment syndrome NOS
16,Accountant III,Cheyne-stokes respiratn
17,Geological Engineer,Central pterygium
18,Recruiter,Bipol I manic-sev w psy
19,Mechanical Systems Engineer,Leg ab w compl NEC-comp
20,Health Coach III,Cystitis NEC
21,Desktop Support Technician,Thrombophlebitis migrans
22,Help Desk Operator,Sprain of pelvis
23,Biostatistician II,Compartment syndrome NOS
24,Nuclear Power Engineer,Cystitis NEC
25,Accounting Assistant IV,Sezary's disease pelvic
26,Accountant III,Central pterygium
27,Statistician IV,Spastic entropion
28,Desktop Support Technician,Cong fold/cyst post eye
29,Office Assistant III,Amebic brain abscess
30,Analog Circuit Design manager,Other lymphedema
31,Food Chemist,Sezary's disease pelvic
32,Desktop Support Technician,Leg ab w compl NEC-comp
33,Human Resources Assistant II,Hx-health hazard NOS
34,Biostatistician II,Cystitis NEC
35,Geologist III,Poor fetal grth-antepart
36,Biostatistician II,Leg ab w compl NEC-inc
37,Technical Writer,Mal neo ant 2/3 tongue
38,Senior Quality Eng,Thrombophlebitis migrans
39,VP Sales,Compartment syndrome NOS
40,Senior Quality Eng,Leg ab w compl NEC-comp
41,Editor,Cutan leishmanias asian
42,Dental Hygienist,Adv eff blood agent NEC
43,Human Resources Assistant II,Hx-health hazard NOS
44,Human Resources Assistant II,Compartment syndrome NOS
45,Information Systems Manager,Horseback riding
46,Office Assistant III,Cl skull fx NEC-concuss
47,Health Coach III,Horseback riding
48,Nuclear Power Engineer,General medical exam NEC
49,Geological Engineer,Leg ab w compl NEC-comp
50,Structural Analysis Engineer,Acc d/t weightless envir
51,Developer II,Leg ab w compl NEC-comp
52,VP Sales,Legal abor w hemorr-unsp
53,Recruiter,Cong fold/cyst post eye
54,Human Resources Assistant II,Colon injury NOS-closed
55,Human Resources Assistant II,Nervousness
56,Editor,Leg ab w compl NEC-inc
57,Dental Hygienist,Acc d/t weightless envir
58,Developer II,Severe birth asphyxia
59,Geological Engineer,Severe birth asphyxia
60,Sales Associate,Acc d/t weightless envir
61,Dental Hygienist,Cl skull fx NEC-concuss
62,Research Nurse,Artic cartil dis-forearm
63,Developer III,Leg ab w compl NEC-inc
64,Structural Analysis Engineer,Opn subdur hem-prol coma
65,Statistician IV,Opn subdur hem-prol coma
66,Analog Circuit Design manager,Opn wnd lary w trac-comp
67,Accountant III,Cystitis NEC
68,Senior Developer,Colon injury NOS-closed
69,Statistician IV,Artic cartil dis-forearm
70,Recruiter,Amebic brain abscess
71,Clinical Specialist,Acc d/t weightless envir
72,Technical Writer,Poor fetal grth-antepart
73,Marketing Manager,Cystitis NEC
74,Food Chemist,Spastic entropion
75,Recruiter,Leg ab w compl NEC-comp
76,Geologist III,Cl skull fx NEC-concuss
77,Information Systems Manager,Artic cartil dis-forearm
78,Research Nurse,Severe birth asphyxia
79,Statistician IV,Opn wnd lary w trac-comp
80,Developer III,Gc salpingitis (chronic)
81,Quality Engineer,Adv eff blood agent NEC
82,Editor,Cheyne-stokes respiratn
83,Health Coach III,Artic cartil dis-forearm
84,Technical Writer,Mal neo ant 2/3 tongue
85,Marketing Manager,Suppurativ labyrinthitis
86,Quality Engineer,Chondrocalcin NOS-hand
87,Nuclear Power Engineer,Hx-health hazard NOS
88,Developer III,General medical exam NEC
89,Senior Developer,Sprain of pelvis
90,Developer III,Leg ab w compl NEC-comp
91,Statistician IV,Cystitis NEC
92,Structural Analysis Engineer,Bipol I manic-sev w psy
93,Clinical Specialist,Colon injury NOS-closed
94,Senior Developer,Sprain of pelvis
95,Office Assistant III,Gc salpingitis (chronic)
96,Clinical Specialist,Amebic brain abscess
97,Safety Technician III,Colon injury NOS-closed
98,Sales Associate,Cl skull fx NEC-concuss
99,Marketing Manager,Amebic brain abscess
100,Structural Analysis Engineer,Sprain of pelvis
101,Marketing Manager,Sezary's disease pelvic
102,Safety Technician III,Opn wnd lary w trac-comp
103,Health Coach III,Artic cartil dis-forearm
104,Information Systems Manager,Suppurativ labyrinthitis
105,Help Desk Operator,Sezary's disease pelvic
106,Senior Developer,General medical exam NEC
107,Recruiter,Gc salpingitis (chronic)
108,Senior Quality Eng,Other lymphedema
109,VP Sales,Colon injury NOS-closed
110,Statistician IV,Chondrocalcin NOS-hand
111,Research Nurse,Cheyne-stokes respiratn
