employee_id,training_plan_id ,training_category_explain
1,1,Neck using Physical Agent
2,2,Bypass R Int Iliac Art to B Femor A w Synth Sub
3,3,Bypass R Int Iliac Art to B Femor A w Synth Sub
4,4,Excision of Left Neck Muscle
5,5,Removal of Infusion Dev from R Sacroiliac Jt
6,6,Extirpation of Matter from R Up Lobe Bronc
7,7,Repair Esophagogastric Junction
8,8,Dilation of Sup Mesent Vein with Intralum Dev
9,9,Open Approach
10,10,Perc Endo Approach
11,11,Dilation of Right Subclavian Artery
12,12,Via Opening
13,13,Bypass R Com Iliac Art to R Int Ilia w Autol Vn
14,14,Neck using Physical Agent
15,15,Perc Approach
16,16,Perc
17,17,Bypass Ileum to Transverse Colon with Synth Sub
18,18,Percutaneous Approach
19,19,Muscle Perform Assess Neuro Low Back/LE w Assist Equip
20,20,Dilation of Sup Mesent Vein with Intralum Dev
21,21,Removal of Infusion Dev from R Sacroiliac Jt
22,22,Percutaneous Approach
23,23,Fragmentation in Ascending Colon
24,24,Bypass Ileum to Asc Colon with Synth Sub
25,25,Excision of Left Neck Muscle
26,26,Bypass Ileum to Asc Colon with Synth Sub
27,27,Excision of Bilateral Fallopian Tubes
28,28,Revision of Drain Dev in R Extraoc Muscle
29,29,Bypass Ileum to Transverse Colon with Synth Sub
30,30,Percutaneous Approach
31,31,Open Approach
32,32,Perc
33,33,Perc Endo Approach
34,34,Bypass R Int Iliac Art to B Femor A w Synth Sub
35,35,Perc Endo Approach
36,36,Perc Approach
37,37,Perc Endo Approach
38,38,Bypass R Com Iliac Art to R Int Ilia w Autol Vn
39,39,Revise of Nonaut Sub in Up Intest Tract
40,40,Perc Approach
41,41,Remove of Radioact Elem from Cranial Cav
42,42,Muscle Perform Assess Neuro Low Back/LE w Assist Equip
43,43,Perc Approach
44,44,Perc Endo Approach
45,45,Reposition Right External Iliac Artery
46,46,Bypass R Int Iliac Art to B Femor A w Synth Sub
47,47,Open Approach
48,48,Transfer Optic Nerve to Olfactory Nerve
49,49,External Approach
50,50,Excision of Left Neck Muscle
51,51,Perc Endo Approach
52,52,Open Approach
53,53,Destruction of Cervix
54,54,Revision of Drain Dev in R Extraoc Muscle
55,55,Perc
56,56,Transfer Optic Nerve to Olfactory Nerve
57,57,Transfer Optic Nerve to Olfactory Nerve
58,58,Neck using Physical Agent
59,59,Exercise Treatment of Neuro Head
60,60,Dilation of Sup Mesent Vein with Intralum Dev
61,61,Dilation of Right Subclavian Artery
62,62,Perc Endo Approach
63,63,Perc Endo Approach
