leave_id,employee_id,leave_type_id,leave_start_date,leave_end_date,leave_duration,leave_request_status,leave_comment
1,1,1,1/16/2023,12/3/2022,36,false,Intermit altrn esotropia
2,2,2,12/24/2022,12/5/2022,83,false,RR acc w explos-pasngr
3,3,3,5/4/2023,12/3/2022,66,false,Artif open status NOS
4,4,4,8/2/2023,12/5/2022,34,false,Sensoneur hear loss asym
5,5,5,8/2/2023,12/2/2022,24,false,Essen hyperten-antepart
6,6,6,3/5/2023,12/5/2022,70,true,Artif open status NOS
7,7,7,5/16/2023,12/4/2022,98,false,RR acc w explos-pasngr
8,8,8,6/18/2023,12/2/2022,80,true,Gastrojejun ulc NOS-obst
9,9,9,3/10/2023,12/4/2022,22,false,Gastrojejun ulc NOS-obst
10,10,10,2/23/2023,12/2/2022,30,true,Essen hyperten-antepart
11,11,11,6/29/2023,12/3/2022,33,false,Aggres periodontitis NOS
12,12,12,7/17/2023,12/2/2022,55,true,Vomit compl preg-antepar
13,13,13,2/21/2023,12/4/2022,39,true,Essen hyperten-antepart
14,14,14,3/19/2023,12/3/2022,34,false,Burkitt's tumor spleen
15,15,15,8/2/2023,12/3/2022,39,false,Hodgkins dis NOS mult
16,16,16,5/13/2023,12/3/2022,52,true,Clo
17,17,17,3/29/2023,12/4/2022,91,false,Comp-unsp device/graft
18,18,18,6/28/2023,12/2/2022,77,true,Burn NOS genitalia
19,19,19,3/20/2023,12/3/2022,27,true,Abn uterus NEC-del w p/p
20,20,20,6/27/2023,12/3/2022,25,false,Gastrojejun ulc NOS-obst
21,21,21,5/9/2023,12/4/2022,62,false,Vomit compl preg-antepar
22,22,22,4/23/2023,12/3/2022,63,true,Oth ob compl-delivered
23,23,23,1/10/2023,12/2/2022,39,true,Gastrojejun ulc NOS-obst
24,24,24,7/22/2023,12/5/2022,36,true,Clo
25,25,25,2/1/2023,12/3/2022,80,true,Clo
26,26,26,2/9/2023,12/3/2022,46,true,Sensoneur hear loss asym
27,27,27,1/16/2023,12/3/2022,51,false,Myel leuk NOS in relapse
28,28,28,2/4/2023,12/2/2022,89,false,Clo
29,29,29,2/20/2023,12/3/2022,59,true,Mv collision NOS-driver
30,30,30,8/6/2023,12/2/2022,82,true,Abn uterus NEC-del w p/p
31,31,31,6/9/2023,12/4/2022,96,true,Oth ob compl-delivered
32,32,32,2/6/2023,12/2/2022,20,true,Mv collision NOS-driver
33,33,33,6/9/2023,12/3/2022,57,true,Ac leuk uns cl relapse
34,34,34,7/10/2023,12/2/2022,27,false,Hodgkins dis NOS mult
35,35,35,4/20/2023,12/5/2022,68,false,Myel leuk NOS in relapse
36,36,36,6/7/2023,12/3/2022,82,false,Mv collision NOS-driver
37,37,37,7/5/2023,12/5/2022,97,false,Uterine inert NEC-antepa
38,38,38,8/18/2023,12/5/2022,70,true,Chronic hepatitis NOS
39,39,39,4/23/2023,12/5/2022,90,false,Mal neo nasopharynx NEC
40,40,40,4/11/2023,12/2/2022,58,false,Chronic hepatitis NOS
41,41,41,6/30/2023,12/5/2022,33,true,Aggres periodontitis NOS
42,42,42,5/26/2023,12/2/2022,50,false,Female genetic test NEC
43,43,43,6/18/2023,12/5/2022,33,false,Sensoneur hear loss asym
44,44,44,7/24/2023,12/4/2022,55,true,Hungry bone syndrome
45,45,45,3/8/2023,12/5/2022,24,false,Mal neo nasopharynx NEC
46,46,46,5/1/2023,12/3/2022,57,false,Vomit compl preg-antepar
47,47,47,5/13/2023,12/2/2022,74,true,Hodgkins dis NOS mult
48,48,48,5/5/2023,12/4/2022,73,true,Essen hyperten-antepart
49,49,49,6/10/2023,12/3/2022,56,false,Clo
50,50,50,2/15/2023,12/5/2022,91,true,Intermit altrn esotropia
51,51,51,6/23/2023,12/2/2022,62,true,Burkitt's tumor spleen
52,52,52,7/20/2023,12/3/2022,51,false,Gastrojejun ulc NOS-obst
53,53,53,7/23/2023,12/4/2022,18,true,Clo
54,54,54,6/30/2023,12/5/2022,48,false,Abn uterus NEC-del w p/p
55,55,55,3/11/2023,12/5/2022,30,true,Gastrojejun ulc NOS-obst
56,56,56,3/21/2023,12/5/2022,58,false,One eye-near tot/oth-NOS
57,57,57,8/2/2023,12/5/2022,25,false,Female genetic test NEC
58,58,58,1/18/2023,12/5/2022,23,false,Artif open status NOS
59,59,59,6/25/2023,12/3/2022,43,true,Female genetic test NEC
60,60,60,2/26/2023,12/3/2022,68,true,One eye-near tot/oth-NOS
61,61,61,6/7/2023,12/3/2022,79,true,Myel leuk NOS in relapse
62,62,62,8/6/2023,12/3/2022,82,true,Uterine inert NEC-antepa
63,63,63,8/13/2023,12/5/2022,76,true,Myel leuk NOS in relapse
64,64,64,12/26/2022,12/5/2022,58,false,Mv collision NOS-driver
65,65,65,4/1/2023,12/3/2022,85,true,Myel leuk NOS in relapse
66,66,66,8/5/2023,12/5/2022,40,false,Sensoneur hear loss asym
67,67,67,8/14/2023,12/3/2022,95,false,Intermit altrn esotropia
68,68,68,4/3/2023,12/4/2022,59,true,Omphalitis of newborn
69,69,69,7/14/2023,12/4/2022,35,false,Clo
70,70,70,7/10/2023,12/5/2022,53,true,Burn NOS genitalia
71,71,71,2/28/2023,12/3/2022,94,false,Mal neo nasopharynx NEC
72,72,72,5/12/2023,12/2/2022,32,true,Comp-unsp device/graft
73,73,73,4/21/2023,12/5/2022,84,true,Essen hyperten-antepart
74,74,74,1/12/2023,12/2/2022,43,false,RR acc w explos-pasngr
75,75,75,12/22/2022,12/4/2022,60,true,Comp-unsp device/graft
76,76,76,3/28/2023,12/4/2022,40,true,Mv collision NOS-driver
77,77,77,4/1/2023,12/3/2022,91,true,Essen hyperten-antepart
78,78,78,1/28/2023,12/2/2022,20,true,Artif open status NOS
79,79,79,3/26/2023,12/5/2022,58,true,Aggres periodontitis NOS
80,80,80,5/21/2023,12/4/2022,58,false,Oth ob compl-delivered
81,81,81,8/29/2023,12/5/2022,98,false,RR acc w explos-pasngr
82,82,82,4/6/2023,12/2/2022,61,false,Vomit compl preg-antepar
83,83,83,2/12/2023,12/2/2022,29,false,Artif open status NOS
84,84,84,6/29/2023,12/3/2022,31,false,Artif open status NOS
85,85,85,7/7/2023,12/2/2022,96,true,Female genetic test NEC
86,86,86,2/2/2023,12/2/2022,90,true,Burn NOS genitalia
87,87,87,8/5/2023,12/2/2022,30,true,Oth ob compl-delivered
88,88,88,7/18/2023,12/5/2022,29,false,Sensoneur hear loss asym
89,89,89,4/6/2023,12/4/2022,77,true,Aggres periodontitis NOS
90,90,90,5/21/2023,12/3/2022,95,false,Essen hyperten-antepart
91,91,91,4/18/2023,12/3/2022,24,false,Burkitt's tumor spleen
92,92,92,3/22/2023,12/5/2022,30,true,Chronic hepatitis NOS
93,93,93,8/20/2023,12/2/2022,41,false,Myel leuk NOS in relapse
94,94,94,7/10/2023,12/4/2022,42,false,Gastrojejun ulc NOS-obst
95,95,95,8/13/2023,12/4/2022,75,false,Hodgkins dis NOS mult
96,96,96,2/3/2023,12/4/2022,82,false,Female genetic test NEC
97,97,97,5/7/2023,12/4/2022,73,false,Aggres periodontitis NOS
98,98,98,8/5/2023,12/5/2022,91,true,Burn NOS genitalia
99,99,99,1/10/2023,12/3/2022,98,true,Ac leuk uns cl relapse
100,100,100,8/3/2023,12/5/2022,27,false,Essen hyperten-antepart
101,101,101,7/1/2023,12/4/2022,42,false,Chronic hepatitis NOS
102,102,102,3/21/2023,12/4/2022,83,true,Omphalitis of newborn
103,103,103,6/12/2023,12/4/2022,67,false,Hungry bone syndrome
104,104,104,7/7/2023,12/2/2022,32,true,One eye-near tot/oth-NOS
105,105,105,6/24/2023,12/5/2022,68,true,Artif open status NOS
106,106,106,5/10/2023,12/2/2022,57,true,Intermit altrn esotropia
107,107,107,6/9/2023,12/5/2022,84,true,RR acc w explos-pasngr
108,108,108,1/12/2023,12/4/2022,59,true,Abn uterus NEC-del w p/p
109,109,109,3/31/2023,12/5/2022,69,false,One eye-near tot/oth-NOS
110,110,110,6/26/2023,12/5/2022,39,true,Vomit compl preg-antepar
111,111,111,3/18/2023,12/3/2022,73,true,Oth ob compl-delivered
112,112,112,4/6/2023,12/4/2022,91,false,Intermit altrn esotropia
113,113,113,8/14/2023,12/5/2022,30,false,Myel leuk NOS in relapse
114,114,114,6/13/2023,12/4/2022,39,true,Mal neo nasopharynx NEC
115,115,115,6/4/2023,12/5/2022,21,false,Ac leuk uns cl relapse
116,116,116,5/14/2023,12/2/2022,36,true,Mal neo nasopharynx NEC
117,117,117,4/30/2023,12/5/2022,91,true,Burn NOS genitalia
118,118,118,12/25/2022,12/3/2022,80,false,Mal neo nasopharynx NEC
119,119,119,6/11/2023,12/3/2022,66,true,Abn uterus NEC-del w p/p
120,120,120,7/30/2023,12/3/2022,62,true,Hodgkins dis NOS mult
121,121,121,3/21/2023,12/3/2022,20,true,Oth ob compl-delivered
122,122,122,4/16/2023,12/2/2022,21,true,Comp-unsp device/graft
123,123,123,1/3/2023,12/5/2022,26,true,Sensoneur hear loss asym
124,124,124,3/29/2023,12/3/2022,19,true,Ac leuk uns cl relapse
125,125,125,5/19/2023,12/4/2022,47,true,Myel leuk NOS in relapse
126,126,126,5/1/2023,12/5/2022,37,false,Uterine inert NEC-antepa
127,127,127,6/5/2023,12/5/2022,32,true,Gastrojejun ulc NOS-obst
128,128,128,2/2/2023,12/3/2022,53,false,Artif open status NOS
129,129,129,1/17/2023,12/5/2022,66,false,RR acc w explos-pasngr
130,130,130,6/11/2023,12/3/2022,72,false,Uterine inert NEC-antepa
131,131,131,7/9/2023,12/5/2022,94,true,One eye-near tot/oth-NOS
132,132,132,5/2/2023,12/3/2022,95,false,Vomit compl preg-antepar
133,133,133,6/24/2023,12/4/2022,65,true,Comp-unsp device/graft
134,134,134,4/22/2023,12/3/2022,89,true,Chronic hepatitis NOS
135,135,135,7/9/2023,12/4/2022,67,false,Chronic hepatitis NOS
136,136,136,5/25/2023,12/2/2022,91,false,Intermit altrn esotropia
137,137,137,6/19/2023,12/3/2022,31,true,Intermit altrn esotropia
138,138,138,4/18/2023,12/3/2022,31,false,Oth ob compl-delivered
139,139,139,5/18/2023,12/4/2022,65,true,Clo
140,140,140,7/21/2023,12/3/2022,45,false,Oth ob compl-delivered
141,141,141,12/26/2022,12/4/2022,97,false,Female genetic test NEC
142,142,142,5/24/2023,12/4/2022,63,true,Sensoneur hear loss asym
143,143,143,5/12/2023,12/5/2022,82,false,Hungry bone syndrome
144,144,144,8/22/2023,12/2/2022,88,true,Female genetic test NEC
145,145,145,6/18/2023,12/2/2022,22,true,Oth ob compl-delivered
146,146,146,8/5/2023,12/5/2022,44,false,Artif open status NOS
147,147,147,3/30/2023,12/3/2022,43,true,Chronic hepatitis NOS
148,148,148,8/26/2023,12/4/2022,37,true,Oth ob compl-delivered
149,149,149,5/17/2023,12/5/2022,98,false,Burkitt's tumor spleen
150,150,150,4/12/2023,12/5/2022,35,false,Mal neo nasopharynx NEC
151,151,151,2/5/2023,12/5/2022,77,false,Myel leuk NOS in relapse
152,152,152,5/17/2023,12/2/2022,73,false,Gastrojejun ulc NOS-obst
153,153,153,7/30/2023,12/4/2022,58,true,Sensoneur hear loss asym
154,154,154,7/3/2023,12/2/2022,42,true,Mv collision NOS-driver
155,155,155,4/8/2023,12/4/2022,71,false,Burkitt's tumor spleen
156,156,156,2/9/2023,12/2/2022,86,true,Chronic hepatitis NOS
157,157,157,8/9/2023,12/5/2022,28,false,Essen hyperten-antepart
158,158,158,6/23/2023,12/2/2022,74,true,Gastrojejun ulc NOS-obst
159,159,159,5/14/2023,12/4/2022,59,false,Intermit altrn esotropia
160,160,160,1/17/2023,12/5/2022,18,true,Uterine inert NEC-antepa
161,161,161,7/31/2023,12/3/2022,86,true,Female genetic test NEC
162,162,162,6/20/2023,12/4/2022,89,false,Oth ob compl-delivered
163,163,163,3/25/2023,12/4/2022,86,true,Clo
164,164,164,5/1/2023,12/3/2022,20,false,Intermit altrn esotropia
165,165,165,4/19/2023,12/3/2022,56,true,Hodgkins dis NOS mult
166,166,166,8/19/2023,12/5/2022,27,false,Clo
167,167,167,12/27/2022,12/2/2022,98,false,Oth ob compl-delivered
168,168,168,8/10/2023,12/3/2022,94,false,Burkitt's tumor spleen
169,169,169,7/18/2023,12/5/2022,20,true,Omphalitis of newborn
170,170,170,7/11/2023,12/3/2022,64,false,Chronic hepatitis NOS
171,171,171,1/8/2023,12/4/2022,19,false,Comp-unsp device/graft
172,172,172,7/12/2023,12/3/2022,78,true,One eye-near tot/oth-NOS
173,173,173,1/19/2023,12/2/2022,95,true,Vomit compl preg-antepar
174,174,174,6/2/2023,12/5/2022,87,false,Uterine inert NEC-antepa
175,175,175,8/28/2023,12/3/2022,28,true,Vomit compl preg-antepar
176,176,176,6/9/2023,12/5/2022,86,true,Mal neo nasopharynx NEC
177,177,177,6/25/2023,12/3/2022,50,true,Clo
178,178,178,7/28/2023,12/5/2022,62,false,Hungry bone syndrome
179,179,179,7/21/2023,12/5/2022,87,true,Ac leuk uns cl relapse
180,180,180,4/11/2023,12/4/2022,73,false,Mv collision NOS-driver
181,181,181,3/14/2023,12/4/2022,92,false,Mal neo nasopharynx NEC
182,182,182,3/12/2023,12/2/2022,96,true,Hungry bone syndrome
183,183,183,6/2/2023,12/5/2022,43,true,Uterine inert NEC-antepa
184,184,184,4/28/2023,12/3/2022,62,true,Gastrojejun ulc NOS-obst
185,185,185,1/22/2023,12/2/2022,42,true,RR acc w explos-pasngr
186,186,186,3/5/2023,12/4/2022,32,false,One eye-near tot/oth-NOS
