training_plan_id ,course_code,course_duration
1,193,46
2,173,30
3,142,9
4,17,3
5,107,98
6,7,3
7,202,65
8,203,41
9,19,85
10,59,24
11,36,21
12,138,18
13,155,34
14,170,74
15,212,91
16,82,50
17,126,59
18,196,48
19,19,89
20,83,43
21,189,90
22,100,56
23,65,36
24,209,88
25,156,58
26,94,44
27,33,31
28,80,68
29,162,48
30,87,2
31,117,65
32,62,24
33,186,39
34,65,87
35,67,21
36,34,3
37,95,46
38,170,11
39,199,74
40,165,83
41,138,86
42,159,72
43,158,32
44,12,26
45,117,14
46,96,2
47,17,94
48,119,98
49,129,92
50,115,61
51,222,81
52,88,2
53,132,34
54,1,22
55,103,23
56,15,63
57,158,69
58,140,19
59,138,11
60,217,99
61,3,43
62,171,19
63,116,2
64,189,57
65,115,20
66,34,26
67,161,38
68,137,83
69,113,28
70,61,96
71,118,84
72,46,4
73,138,70
74,48,40
75,41,73
76,92,84
77,190,9
78,104,93
79,80,81
80,57,53
81,108,36
82,175,81
83,94,88
84,83,21
85,207,77
86,145,34
87,44,59
88,102,9
89,143,27
90,226,74
91,169,70
92,150,73
93,223,7
94,18,75
95,40,52
96,30,41
97,182,100
98,190,43
99,60,85
100,9,99
101,149,21
102,91,49
103,76,41
104,113,10
105,77,15
106,221,3
107,94,22
108,38,44
109,106,37
110,40,72
111,104,9
112,131,60
113,110,77
114,211,28
115,44,53
116,34,5
117,3,9
118,4,90
119,185,18
120,34,91
121,82,57
122,35,23
123,162,27
124,91,52
125,13,27
126,83,31
127,74,5
128,200,15
129,46,40
130,57,31
131,24,62
132,110,14
133,211,40
134,136,53
135,100,44
136,63,97
137,89,13
138,186,31
139,147,99
140,100,38
141,27,77
142,148,25
143,159,61
144,164,49
145,223,65
146,161,15
147,62,15
148,214,91
149,34,54
150,21,33
151,187,38
152,88,11
153,193,23
154,1,97
155,30,80
156,136,30
157,149,41
158,12,56
159,227,13
160,191,81
161,114,86
162,141,72
163,151,18
164,138,14
165,36,61
166,177,70
167,76,2
168,13,68
169,150,62
170,159,20
171,4,15
172,30,35
173,157,68
174,120,91
175,225,47
176,193,85
177,56,15
178,168,53
179,201,45
180,182,96
181,60,26
182,117,37
183,102,93
184,37,66
185,10,6
186,188,89
187,199,86
188,87,65
189,79,12
190,45,86
191,6,72
192,116,19
193,22,19
194,199,71
195,167,63
196,118,52
197,193,35
198,137,13
199,191,3
200,104,35
201,100,48
202,182,28
203,76,41
204,193,20
205,104,62
206,136,11
207,167,41
208,15,67
209,41,78
210,178,47
211,52,27
212,216,50
213,92,95
214,207,53
215,227,87
216,106,52
217,217,21
218,20,36
219,214,30
220,173,68
221,87,14
222,61,84
223,23,83
224,71,2
225,43,74
226,101,47
227,37,86
228,56,79
229,58,9
230,82,70
231,151,62
232,222,70
233,107,87
234,106,23
235,226,62
236,205,93
237,195,76
238,46,60
239,130,59
240,209,30
241,62,54
242,133,30
243,218,54
244,16,89
245,96,77
246,38,24
247,39,33
248,225,82
249,83,15
250,5,33
251,108,12
252,226,56
253,148,15
254,111,97
255,46,27
256,4,50
257,122,40
258,67,91
259,142,90
260,184,58
261,121,12
262,114,65
263,108,73
264,24,79
265,210,34
266,147,12
267,146,89
268,176,23
269,180,17
270,134,89
271,212,100
272,26,83
273,143,59
274,192,60
275,183,42
276,47,32
277,194,89
278,52,17
279,140,27
280,20,41
281,87,76
282,226,82
283,177,70
284,160,81
285,175,64
286,125,25
287,64,47
288,98,73
289,128,81
290,174,12
291,28,24
292,28,68
293,135,52
294,196,6
295,39,32
296,147,8
297,218,50
298,33,64
299,27,26
