payroll_id,employee_id,payroll_period,calculated_earnings,deductions,netpay,overtime_hours,payroll_date,tax_deduction,compensation_id
1,1,4/21/2023,91.1,95.2,87.4,8.4,12/31/2022,99,1
2,2,9/1/2023,39.1,91.2,92.7,79.4,2/15/2023,99,2
3,3,4/10/2023,55.4,24.6,96.5,82.9,10/8/2023,44,3
4,4,6/25/2023,48.8,45.8,16.0,44.7,9/12/2023,75,4
5,5,6/16/2023,16.7,58.3,40.4,19.2,12/18/2022,58,5
6,6,2/12/2023,69.9,46.0,79.9,81.1,10/16/2023,16,6
7,7,4/12/2023,75.1,30.2,61.8,36.0,4/26/2023,37,7
8,8,4/13/2023,74.5,3.6,74.5,56.5,3/24/2023,74,8
9,9,2/18/2023,55.8,76.2,19.5,88.2,10/17/2023,33,9
10,10,6/21/2023,63.1,46.5,20.5,50.2,10/12/2023,2,10
11,11,4/16/2023,8.6,63.0,90.0,72.0,11/4/2023,36,11
12,12,1/28/2023,18.5,14.9,48.5,34.7,2/2/2023,16,12
13,13,1/6/2023,58.6,10.7,81.3,63.8,10/28/2023,54,13
14,14,3/13/2023,98.3,42.8,49.0,72.9,5/31/2023,10,14
15,15,8/26/2023,13.1,12.7,64.4,77.6,10/18/2023,47,15
16,16,6/19/2023,67.9,10.4,15.5,96.3,11/12/2023,14,16
17,17,1/25/2023,31.4,0.9,36.2,23.5,5/5/2023,75,17
18,18,1/15/2023,59.6,84.0,90.8,61.3,3/14/2023,0,18
19,19,8/26/2023,97.2,31.9,31.0,77.5,8/17/2023,52,19
20,20,4/23/2023,16.4,83.0,77.8,59.2,7/27/2023,53,20
21,21,3/16/2023,0.7,23.7,99.0,28.4,5/3/2023,24,21
22,22,7/21/2023,9.4,13.3,51.4,8.4,2/5/2023,51,22
23,23,2/8/2023,89.1,31.2,49.6,31.0,1/22/2023,3,23
24,24,12/8/2022,37.5,91.4,26.7,90.2,8/6/2023,6,24
25,25,3/30/2023,90.1,58.6,64.1,78.8,12/16/2022,35,25
26,26,6/1/2023,87.7,7.3,73.2,92.0,1/20/2023,46,26
27,27,11/24/2023,67.3,82.3,23.9,22.8,6/23/2023,40,27
28,28,12/29/2022,69.0,55.9,22.9,93.5,9/18/2023,90,28
29,29,8/25/2023,41.0,77.0,96.7,52.6,11/24/2023,100,29
30,30,3/11/2023,79.4,63.7,86.4,74.7,11/4/2023,58,30
31,31,4/10/2023,8.7,9.4,72.5,30.9,12/3/2022,93,31
32,32,3/20/2023,47.3,71.3,65.8,60.3,9/22/2023,24,32
33,33,10/17/2023,42.4,78.8,34.1,63.7,3/29/2023,76,33
34,34,4/13/2023,51.3,38.8,38.7,56.0,1/30/2023,68,34
35,35,2/7/2023,84.6,7.5,16.2,71.6,1/8/2023,26,35
36,36,8/26/2023,98.7,11.4,98.7,99.0,12/28/2022,36,36
37,37,2/22/2023,97.7,72.3,53.1,55.0,4/14/2023,24,37
